person_id,case_id_a,case_id_b,continuity_ground_truth,synthetic_flag
PERSON-001667,CASE-000001,CASE-000030,true,true
PERSON-001667,CASE-000030,CASE-000032,true,true
PERSON-001667,CASE-000032,CASE-000034,true,true
PERSON-001667,CASE-000034,CASE-000042,true,true
PERSON-001667,CASE-000042,CASE-000061,true,true
PERSON-001667,CASE-000061,CASE-000086,true,true
PERSON-001667,CASE-000086,CASE-000091,true,true
PERSON-001667,CASE-000091,CASE-000101,true,true
PERSON-001667,CASE-000101,CASE-000139,true,true
PERSON-001667,CASE-000139,CASE-000154,true,true
PERSON-001667,CASE-000154,CASE-000182,true,true
PERSON-001667,CASE-000182,CASE-000184,true,true
PERSON-001667,CASE-000184,CASE-000211,true,true
PERSON-001667,CASE-000211,CASE-000257,true,true
PERSON-001667,CASE-000257,CASE-000309,true,true
PERSON-001667,CASE-000309,CASE-000318,true,true
PERSON-001667,CASE-000318,CASE-000321,true,true
PERSON-001667,CASE-000321,CASE-000344,true,true
PERSON-001667,CASE-000344,CASE-000352,true,true
PERSON-001667,CASE-000352,CASE-000387,true,true
PERSON-001667,CASE-000387,CASE-000390,true,true
PERSON-001667,CASE-000390,CASE-000394,true,true
PERSON-001667,CASE-000394,CASE-000396,true,true
PERSON-001667,CASE-000396,CASE-000400,true,true
PERSON-001667,CASE-000400,CASE-000407,true,true
PERSON-001667,CASE-000407,CASE-000466,true,true
PERSON-001667,CASE-000466,CASE-000474,true,true
PERSON-001667,CASE-000474,CASE-000478,true,true
PERSON-001667,CASE-000478,CASE-000519,true,true
PERSON-001667,CASE-000519,CASE-000528,true,true
PERSON-001667,CASE-000528,CASE-000540,true,true
PERSON-001667,CASE-000540,CASE-000547,true,true
PERSON-001667,CASE-000547,CASE-000548,true,true
PERSON-001667,CASE-000548,CASE-000554,true,true
PERSON-001667,CASE-000554,CASE-000584,true,true
PERSON-001667,CASE-000584,CASE-000604,true,true
PERSON-001667,CASE-000604,CASE-000610,true,true
PERSON-001667,CASE-000610,CASE-000679,true,true
PERSON-001667,CASE-000679,CASE-000698,true,true
PERSON-001667,CASE-000698,CASE-000716,true,true
PERSON-001667,CASE-000716,CASE-000754,true,true
PERSON-001667,CASE-000754,CASE-000781,true,true
PERSON-001667,CASE-000781,CASE-000786,true,true
PERSON-001667,CASE-000786,CASE-000821,true,true
PERSON-001667,CASE-000821,CASE-000857,true,true
PERSON-001667,CASE-000857,CASE-000918,true,true
PERSON-001667,CASE-000918,CASE-000954,true,true
PERSON-001667,CASE-000954,CASE-000971,true,true
PERSON-001670,CASE-000001,CASE-000026,true,true
PERSON-001670,CASE-000026,CASE-000030,true,true
PERSON-001670,CASE-000030,CASE-000032,true,true
PERSON-001670,CASE-000032,CASE-000042,true,true
PERSON-001670,CASE-000042,CASE-000061,true,true
