case_id,entity_id,actual_role,is_relevant,importance_score
CASE-000001,PERSON-001667,observed_associate,false,0.71
CASE-000001,PERSON-001670,observed_associate,false,0.51
CASE-000001,PERSON-001589,suspect,true,1.0
CASE-000001,PERSON-000193,suspect,true,1.0
CASE-000002,PERSON-000245,observed_associate,false,0.59
CASE-000002,PERSON-001941,suspect,true,1.0
CASE-000002,PERSON-002397,suspect,true,1.0
CASE-000002,PERSON-001578,observed_associate,false,0.63
CASE-000002,PERSON-002304,suspect,true,1.0
CASE-000002,PERSON-001847,observed_associate,false,0.73
CASE-000003,PERSON-000862,suspect,true,1.0
CASE-000003,PERSON-001431,suspect,true,1.0
CASE-000003,PERSON-001701,observed_associate,false,0.41
CASE-000003,PERSON-002106,observed_associate,false,0.48
CASE-000003,PERSON-001803,suspect,true,1.0
CASE-000003,PERSON-000484,suspect,true,1.0
CASE-000003,PERSON-000599,suspect,true,1.0
CASE-000003,PERSON-000838,observed_associate,false,0.26
CASE-000004,PERSON-000341,suspect,true,1.0
CASE-000004,PERSON-000342,suspect,true,1.0
CASE-000004,PERSON-001262,observed_associate,false,0.68
CASE-000004,PERSON-001648,suspect,true,1.0
CASE-000004,PERSON-002900,suspect,true,1.0
CASE-000004,PERSON-002246,observed_associate,false,0.28
CASE-000005,PERSON-002609,suspect,true,1.0
CASE-000005,PERSON-000906,observed_associate,false,0.61
CASE-000005,PERSON-000217,observed_associate,false,0.49
CASE-000005,PERSON-001768,observed_associate,false,0.69
CASE-000005,PERSON-002964,suspect,true,1.0
CASE-000006,PERSON-000492,observed_associate,false,0.26
CASE-000006,PERSON-001059,observed_associate,false,0.4
CASE-000006,PERSON-000920,observed_associate,false,0.49
CASE-000006,PERSON-000144,observed_associate,false,0.38
CASE-000006,PERSON-002999,suspect,true,1.0
CASE-000006,PERSON-002082,suspect,true,1.0
CASE-000006,PERSON-001830,observed_associate,false,0.62
CASE-000007,PERSON-001615,suspect,true,1.0
CASE-000007,PERSON-000342,observed_associate,false,0.59
CASE-000007,PERSON-000144,observed_associate,false,0.4
CASE-000007,PERSON-000302,suspect,true,1.0
CASE-000007,PERSON-001880,suspect,true,1.0
CASE-000007,PERSON-000001,suspect,true,1.0
CASE-000007,PERSON-002122,suspect,true,1.0
CASE-000007,PERSON-001830,suspect,true,1.0
CASE-000008,PERSON-000648,suspect,true,1.0
CASE-000008,PERSON-001536,suspect,true,1.0
CASE-000008,PERSON-000647,suspect,true,1.0
CASE-000008,PERSON-001788,suspect,true,1.0
CASE-000008,PERSON-000259,observed_associate,false,0.62
CASE-000008,PERSON-000898,observed_associate,false,0.66
CASE-000008,PERSON-000895,observed_associate,false,0.55
CASE-000008,PERSON-000568,observed_associate,false,0.43
CASE-000008,PERSON-001318,observed_associate,false,0.38
CASE-000008,PERSON-000106,suspect,true,1.0
CASE-000008,PERSON-001880,suspect,true,1.0
CASE-000009,PERSON-002737,observed_associate,false,0.5
CASE-000009,PERSON-000682,observed_associate,false,0.3
CASE-000009,PERSON-000473,observed_associate,false,0.6
CASE-000009,PERSON-000042,observed_associate,false,0.56
CASE-000009,PERSON-001807,suspect,true,1.0
CASE-000009,PERSON-000165,suspect,true,1.0
CASE-000009,PERSON-000275,observed_associate,false,0.73
CASE-000009,PERSON-001481,observed_associate,false,0.73
CASE-000009,PERSON-002068,observed_associate,false,0.55
CASE-000009,PERSON-000032,observed_associate,false,0.65
CASE-000010,PERSON-002821,observed_associate,false,0.59
CASE-000010,PERSON-001474,suspect,true,1.0
CASE-000010,PERSON-001115,observed_associate,false,0.27
CASE-000010,PERSON-001610,observed_associate,false,0.31
CASE-000010,PERSON-000267,observed_associate,false,0.34
CASE-000010,PERSON-000792,observed_associate,false,0.38
CASE-000010,PERSON-000106,suspect,true,1.0
CASE-000010,PERSON-002900,observed_associate,false,0.36
CASE-000010,PERSON-002618,observed_associate,false,0.53
CASE-000011,PERSON-002639,observed_associate,false,0.57
CASE-000011,PERSON-002839,observed_associate,false,0.42
CASE-000011,PERSON-000274,observed_associate,false,0.31
CASE-000011,PERSON-001610,observed_associate,false,0.51
CASE-000011,PERSON-002368,suspect,true,1.0
CASE-000011,PERSON-001705,suspect,true,1.0
CASE-000011,PERSON-000911,suspect,true,1.0
CASE-000011,PERSON-000232,observed_associate,false,0.72
CASE-000011,PERSON-001691,observed_associate,false,0.4
CASE-000012,PERSON-000842,suspect,true,1.0
CASE-000012,PERSON-001012,suspect,true,1.0
CASE-000012,PERSON-000175,suspect,true,1.0
CASE-000012,PERSON-001782,suspect,true,1.0
CASE-000012,PERSON-002256,observed_associate,false,0.28
CASE-000012,PERSON-001206,suspect,true,1.0
CASE-000012,PERSON-002788,observed_associate,false,0.35
CASE-000012,PERSON-000710,observed_associate,false,0.32
CASE-000012,PERSON-000072,suspect,true,1.0
CASE-000013,PERSON-001769,suspect,true,1.0
CASE-000013,PERSON-002106,suspect,true,1.0
CASE-000013,PERSON-001803,observed_associate,false,0.25
CASE-000013,PERSON-002197,suspect,true,1.0
CASE-000013,PERSON-002965,suspect,true,1.0
CASE-000013,PERSON-000703,observed_associate,false,0.51
CASE-000013,PERSON-001492,suspect,true,1.0
CASE-000014,PERSON-001544,suspect,true,1.0
CASE-000014,PERSON-001898,suspect,true,1.0
CASE-000014,PERSON-000621,suspect,true,1.0
CASE-000014,PERSON-000083,suspect,true,1.0
CASE-000014,PERSON-001543,observed_associate,false,0.52
CASE-000014,PERSON-001873,suspect,true,1.0
CASE-000014,PERSON-002745,observed_associate,false,0.35
CASE-000014,PERSON-001205,suspect,true,1.0
CASE-000015,PERSON-000260,observed_associate,false,0.26
CASE-000015,PERSON-000499,observed_associate,false,0.65
CASE-000015,PERSON-001780,suspect,true,1.0
CASE-000015,PERSON-002397,suspect,true,1.0
CASE-000015,PERSON-002646,suspect,true,1.0
CASE-000015,PERSON-001747,observed_associate,false,0.49
CASE-000015,PERSON-002846,observed_associate,false,0.31
CASE-000015,PERSON-000374,observed_associate,false,0.54
CASE-000015,PERSON-002304,observed_associate,false,0.46
CASE-000015,PERSON-001691,suspect,true,1.0
CASE-000015,PERSON-001847,observed_associate,false,0.25
CASE-000016,PERSON-000260,observed_associate,false,0.52
CASE-000016,PERSON-000499,observed_associate,false,0.51
CASE-000016,PERSON-000943,suspect,true,1.0
CASE-000016,PERSON-001747,observed_associate,false,0.44
CASE-000016,PERSON-001479,suspect,true,1.0
CASE-000016,PERSON-002846,suspect,true,1.0
CASE-000016,PERSON-000374,observed_associate,false,0.38
CASE-000016,PERSON-001578,observed_associate,false,0.34
CASE-000016,PERSON-002393,observed_associate,false,0.28
CASE-000017,PERSON-000842,observed_associate,false,0.44
CASE-000017,PERSON-002954,suspect,true,1.0
CASE-000017,PERSON-000710,observed_associate,false,0.36
CASE-000017,PERSON-001769,suspect,true,1.0
CASE-000018,PERSON-000238,observed_associate,false,0.73
CASE-000018,PERSON-002343,suspect,true,1.0
CASE-000018,PERSON-001007,observed_associate,false,0.73
CASE-000018,PERSON-001331,observed_associate,false,0.58
CASE-000018,PERSON-001642,observed_associate,false,0.34
CASE-000018,PERSON-000524,suspect,true,1.0
CASE-000018,PERSON-001547,suspect,true,1.0
CASE-000019,PERSON-000081,suspect,true,1.0
CASE-000019,PERSON-001259,observed_associate,false,0.44
CASE-000019,PERSON-000850,suspect,true,1.0
CASE-000019,PERSON-001861,observed_associate,false,0.69
CASE-000019,PERSON-002574,observed_associate,false,0.4
CASE-000019,PERSON-000863,observed_associate,false,0.52
CASE-000019,PERSON-000063,suspect,true,1.0
CASE-000019,PERSON-000927,suspect,true,1.0
CASE-000019,PERSON-001589,suspect,true,1.0
CASE-000020,PERSON-000863,observed_associate,false,0.67
CASE-000020,PERSON-000081,suspect,true,1.0
CASE-000020,PERSON-000845,suspect,true,1.0
CASE-000021,PERSON-002020,observed_associate,false,0.53
CASE-000021,PERSON-002517,suspect,true,1.0
CASE-000021,PERSON-000062,suspect,true,1.0
CASE-000021,PERSON-000921,observed_associate,false,0.59
CASE-000021,PERSON-000357,suspect,true,1.0
CASE-000022,PERSON-000682,observed_associate,false,0.68
CASE-000022,PERSON-002737,suspect,true,1.0
CASE-000022,PERSON-000473,observed_associate,false,0.37
CASE-000022,PERSON-000042,suspect,true,1.0
CASE-000022,PERSON-002068,suspect,true,1.0
CASE-000022,PERSON-000165,suspect,true,1.0
CASE-000022,PERSON-001481,observed_associate,false,0.65
CASE-000022,PERSON-000275,observed_associate,false,0.58
CASE-000022,PERSON-000032,observed_associate,false,0.58
CASE-000022,PERSON-000703,suspect,true,1.0
CASE-000023,PERSON-001558,suspect,true,1.0
CASE-000023,PERSON-001474,suspect,true,1.0
CASE-000023,PERSON-002900,observed_associate,false,0.6
CASE-000023,PERSON-001115,suspect,true,1.0
CASE-000023,PERSON-001610,suspect,true,1.0
CASE-000023,PERSON-000792,observed_associate,false,0.7
CASE-000023,PERSON-002060,observed_associate,false,0.61
CASE-000023,PERSON-002618,observed_associate,false,0.29
CASE-000023,PERSON-001757,observed_associate,false,0.7
CASE-000024,PERSON-002277,suspect,true,1.0
CASE-000024,PERSON-000449,observed_associate,false,0.41
CASE-000024,PERSON-001617,observed_associate,false,0.66
CASE-000024,PERSON-001194,suspect,true,1.0
CASE-000024,PERSON-000341,observed_associate,false,0.66
CASE-000024,PERSON-002930,suspect,true,1.0
CASE-000024,PERSON-000009,observed_associate,false,0.62
CASE-000024,PERSON-001899,suspect,true,1.0
CASE-000024,PERSON-000106,suspect,true,1.0
CASE-000024,PERSON-002633,observed_associate,false,0.45
CASE-000024,PERSON-002246,observed_associate,false,0.61
CASE-000025,PERSON-000538,suspect,true,1.0
CASE-000025,PERSON-000120,suspect,true,1.0
CASE-000025,PERSON-000921,observed_associate,false,0.72
CASE-000025,PERSON-000863,observed_associate,false,0.52
CASE-000025,PERSON-000895,suspect,true,1.0
CASE-000025,PERSON-002999,suspect,true,1.0
CASE-000026,PERSON-001210,observed_associate,false,0.52
CASE-000026,PERSON-001558,observed_associate,false,0.65
CASE-000026,PERSON-000351,observed_associate,false,0.45
CASE-000026,PERSON-002750,observed_associate,false,0.39
CASE-000026,PERSON-001041,suspect,true,1.0
CASE-000026,PERSON-001589,observed_associate,false,0.65
CASE-000026,PERSON-001670,suspect,true,1.0
CASE-000027,PERSON-002517,suspect,true,1.0
CASE-000027,PERSON-002132,suspect,true,1.0
CASE-000027,PERSON-000621,observed_associate,false,0.67
CASE-000027,PERSON-002745,suspect,true,1.0
CASE-000027,PERSON-002999,observed_associate,false,0.37
CASE-000027,PERSON-001205,suspect,true,1.0
CASE-000028,PERSON-001558,suspect,true,1.0
CASE-000028,PERSON-002821,observed_associate,false,0.65
CASE-000028,PERSON-001474,observed_associate,false,0.45
CASE-000028,PERSON-002900,observed_associate,false,0.29
CASE-000028,PERSON-001115,suspect,true,1.0
CASE-000028,PERSON-001262,suspect,true,1.0
CASE-000028,PERSON-001610,observed_associate,false,0.62
CASE-000028,PERSON-000180,suspect,true,1.0
CASE-000028,PERSON-000792,observed_associate,false,0.67
CASE-000028,PERSON-002060,suspect,true,1.0
CASE-000028,PERSON-002618,observed_associate,false,0.52
CASE-000029,PERSON-002453,suspect,true,1.0
CASE-000029,PERSON-002197,suspect,true,1.0
CASE-000029,PERSON-001705,suspect,true,1.0
CASE-000029,PERSON-000232,observed_associate,false,0.49
CASE-000029,PERSON-000789,observed_associate,false,0.7
CASE-000030,PERSON-001210,observed_associate,false,0.71
CASE-000030,PERSON-000146,suspect,true,1.0
CASE-000030,PERSON-001667,observed_associate,false,0.47
CASE-000030,PERSON-000351,observed_associate,false,0.53
CASE-000030,PERSON-000717,suspect,true,1.0
CASE-000030,PERSON-002750,observed_associate,false,0.6
CASE-000030,PERSON-001041,observed_associate,false,0.43
CASE-000030,PERSON-001589,suspect,true,1.0
CASE-000030,PERSON-001670,observed_associate,false,0.42
CASE-000031,PERSON-002998,observed_associate,false,0.66
CASE-000031,PERSON-000948,suspect,true,1.0
CASE-000031,PERSON-002757,suspect,true,1.0
CASE-000031,PERSON-000584,suspect,true,1.0
CASE-000031,PERSON-000697,suspect,true,1.0
CASE-000031,PERSON-000230,suspect,true,1.0
CASE-000031,PERSON-002715,suspect,true,1.0
CASE-000032,PERSON-001667,observed_associate,false,0.35
CASE-000032,PERSON-000146,observed_associate,false,0.56
CASE-000032,PERSON-001210,suspect,true,1.0
CASE-000032,PERSON-001558,suspect,true,1.0
CASE-000032,PERSON-001041,suspect,true,1.0
CASE-000032,PERSON-001589,suspect,true,1.0
CASE-000032,PERSON-001880,suspect,true,1.0
CASE-000032,PERSON-001670,suspect,true,1.0
CASE-000033,PERSON-001210,observed_associate,false,0.64
CASE-000033,PERSON-000146,suspect,true,1.0
CASE-000033,PERSON-001573,suspect,true,1.0
CASE-000033,PERSON-001558,observed_associate,false,0.34
CASE-000033,PERSON-000351,suspect,true,1.0
CASE-000033,PERSON-002750,observed_associate,false,0.64
CASE-000033,PERSON-001041,suspect,true,1.0
