hidden_relationship_id,source_person_id,target_person_id,relationship_class,observable_evidence_types,shared_case_ids,shared_network_ids,expected_min_hops,should_be_direct_edge,synthetic_flag
HREL-000001,PERSON-000643,PERSON-000468,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000002,PERSON-002716,PERSON-001402,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000003,PERSON-001994,PERSON-000208,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000004,PERSON-001572,PERSON-001643,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000005,PERSON-002817,PERSON-000702,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000006,PERSON-001103,PERSON-002407,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000007,PERSON-001235,PERSON-001161,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000008,PERSON-001179,PERSON-002365,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000009,PERSON-001951,PERSON-000888,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000010,PERSON-000596,PERSON-001919,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000011,PERSON-000837,PERSON-002830,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000012,PERSON-001648,PERSON-002322,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000013,PERSON-000404,PERSON-001091,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000014,PERSON-002824,PERSON-001822,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000015,PERSON-002419,PERSON-002218,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000016,PERSON-002531,PERSON-001370,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000017,PERSON-000976,PERSON-001691,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000018,PERSON-001163,PERSON-001299,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000019,PERSON-000444,PERSON-001110,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000020,PERSON-002487,PERSON-001903,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000021,PERSON-000122,PERSON-000184,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000022,PERSON-001049,PERSON-001879,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000023,PERSON-002129,PERSON-001787,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000024,PERSON-002798,PERSON-001335,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000025,PERSON-000504,PERSON-002741,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000026,PERSON-002046,PERSON-000819,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000027,PERSON-000840,PERSON-002950,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000028,PERSON-001795,PERSON-000538,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000029,PERSON-002010,PERSON-000475,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000030,PERSON-001844,PERSON-002508,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000031,PERSON-002894,PERSON-002403,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000032,PERSON-002406,PERSON-001391,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000033,PERSON-000627,PERSON-001575,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000034,PERSON-001756,PERSON-000535,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000035,PERSON-001532,PERSON-000788,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000036,PERSON-001743,PERSON-000053,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000037,PERSON-002776,PERSON-002152,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000038,PERSON-002760,PERSON-002532,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000039,PERSON-000633,PERSON-001069,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000040,PERSON-002129,PERSON-000046,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000041,PERSON-002352,PERSON-001477,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000042,PERSON-002929,PERSON-000661,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000043,PERSON-002172,PERSON-002706,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000044,PERSON-001736,PERSON-000467,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000045,PERSON-000384,PERSON-002959,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000046,PERSON-000622,PERSON-000120,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|ASSET|CASE_OVERLAP,,,3,false,true
HREL-000047,PERSON-002171,PERSON-000124,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000048,PERSON-001627,PERSON-001566,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000049,PERSON-001797,PERSON-001302,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000050,PERSON-000811,PERSON-001081,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000051,PERSON-000749,PERSON-000281,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000052,PERSON-000815,PERSON-001484,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000053,PERSON-001706,PERSON-000980,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000054,PERSON-001676,PERSON-000704,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000055,PERSON-001353,PERSON-000734,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000056,PERSON-000174,PERSON-002083,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000057,PERSON-001906,PERSON-002332,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000058,PERSON-002459,PERSON-000866,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000059,PERSON-002590,PERSON-001075,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000060,PERSON-002893,PERSON-000807,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000061,PERSON-002061,PERSON-002976,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000062,PERSON-000279,PERSON-001272,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000063,PERSON-000266,PERSON-001393,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000064,PERSON-002586,PERSON-002016,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000065,PERSON-000268,PERSON-000202,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000066,PERSON-001849,PERSON-000867,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000067,PERSON-002287,PERSON-002849,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000068,PERSON-001398,PERSON-001438,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000069,PERSON-002173,PERSON-001325,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000070,PERSON-002344,PERSON-000509,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000071,PERSON-001321,PERSON-001312,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000072,PERSON-001488,PERSON-001512,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000073,PERSON-002477,PERSON-000743,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000074,PERSON-001041,PERSON-000983,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000075,PERSON-001269,PERSON-002497,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000076,PERSON-001748,PERSON-002638,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000077,PERSON-000479,PERSON-001017,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|ASSET|CASE_OVERLAP,,,2,false,true
HREL-000078,PERSON-000769,PERSON-000583,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000079,PERSON-002461,PERSON-002093,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000080,PERSON-002123,PERSON-001558,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000081,PERSON-000288,PERSON-001810,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|ASSET|CASE_OVERLAP,,,4,false,true
HREL-000082,PERSON-001384,PERSON-002755,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000083,PERSON-000855,PERSON-002837,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000084,PERSON-001704,PERSON-001644,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000085,PERSON-000659,PERSON-000144,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000086,PERSON-001937,PERSON-002166,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000087,PERSON-002377,PERSON-001675,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000088,PERSON-002274,PERSON-000555,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000089,PERSON-002729,PERSON-000412,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000090,PERSON-002078,PERSON-000878,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000091,PERSON-001770,PERSON-002246,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000092,PERSON-002179,PERSON-002992,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000093,PERSON-001206,PERSON-002405,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000094,PERSON-002878,PERSON-002708,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000095,PERSON-001185,PERSON-001352,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000096,PERSON-001201,PERSON-000723,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000097,PERSON-002465,PERSON-000008,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000098,PERSON-000275,PERSON-001036,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000099,PERSON-001167,PERSON-000581,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000100,PERSON-001608,PERSON-002499,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000101,PERSON-000692,PERSON-000198,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000102,PERSON-001310,PERSON-002854,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000103,PERSON-001637,PERSON-001582,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000104,PERSON-002185,PERSON-002186,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000105,PERSON-001797,PERSON-001392,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000106,PERSON-000571,PERSON-000417,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000107,PERSON-002250,PERSON-002640,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000108,PERSON-002571,PERSON-001926,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000109,PERSON-001052,PERSON-001372,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000110,PERSON-002683,PERSON-001056,CROSS_CASE_ASSOCIATION,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000111,PERSON-000007,PERSON-002385,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000112,PERSON-000601,PERSON-000972,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000113,PERSON-002272,PERSON-000681,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000114,PERSON-001029,PERSON-001165,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,4,false,true
HREL-000115,PERSON-002995,PERSON-000610,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000116,PERSON-000008,PERSON-001935,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000117,PERSON-001981,PERSON-001990,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000118,PERSON-001841,PERSON-002147,SHARED_NETWORK,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000119,PERSON-001109,PERSON-001812,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000120,PERSON-001362,PERSON-001843,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
HREL-000121,PERSON-002411,PERSON-001090,COMMON_INTERMEDIARY,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,3,false,true
HREL-000122,PERSON-001965,PERSON-002740,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|ASSET|CASE_OVERLAP,,,4,false,true
HREL-000123,PERSON-000852,PERSON-001737,BRIDGE_RELATIONSHIP,COMMUNICATION|FINANCIAL|CASE_OVERLAP,,,2,false,true
