network_id,network_type,person_id,ground_truth_role,synthetic_flag
NET-000001,ORGANIZED_CRIME,PERSON-001210,associate,true
NET-000001,ORGANIZED_CRIME,PERSON-001667,associate,true
NET-000001,ORGANIZED_CRIME,PERSON-000146,member,true
NET-000001,ORGANIZED_CRIME,PERSON-000351,coordinator,true
NET-000001,ORGANIZED_CRIME,PERSON-001558,coordinator,true
NET-000001,ORGANIZED_CRIME,PERSON-002750,member,true
NET-000001,ORGANIZED_CRIME,PERSON-001041,bridge,true
NET-000001,ORGANIZED_CRIME,PERSON-001589,coordinator,true
NET-000001,ORGANIZED_CRIME,PERSON-001670,member,true
NET-000002,MIXED_CRIME,PERSON-000081,associate,true
NET-000002,MIXED_CRIME,PERSON-001259,member,true
NET-000002,MIXED_CRIME,PERSON-000850,bridge,true
NET-000002,MIXED_CRIME,PERSON-001861,bridge,true
NET-000002,MIXED_CRIME,PERSON-002574,associate,true
NET-000002,MIXED_CRIME,PERSON-000863,member,true
NET-000002,MIXED_CRIME,PERSON-000063,member,true
NET-000002,MIXED_CRIME,PERSON-002757,associate,true
NET-000002,MIXED_CRIME,PERSON-001589,associate,true
NET-000003,NARCOTICS,PERSON-000146,member,true
NET-000003,NARCOTICS,PERSON-002609,bridge,true
NET-000003,NARCOTICS,PERSON-000906,coordinator,true
NET-000003,NARCOTICS,PERSON-000473,member,true
NET-000003,NARCOTICS,PERSON-000047,member,true
NET-000003,NARCOTICS,PERSON-002938,bridge,true
NET-000003,NARCOTICS,PERSON-000279,associate,true
NET-000003,NARCOTICS,PERSON-000217,bridge,true
NET-000003,NARCOTICS,PERSON-001768,coordinator,true
NET-000003,NARCOTICS,PERSON-002223,associate,true
NET-000003,NARCOTICS,PERSON-002205,associate,true
NET-000003,NARCOTICS,PERSON-000556,associate,true
NET-000003,NARCOTICS,PERSON-002964,associate,true
NET-000004,MIXED_CRIME,PERSON-001558,coordinator,true
NET-000004,MIXED_CRIME,PERSON-002821,bridge,true
NET-000004,MIXED_CRIME,PERSON-000540,bridge,true
NET-000004,MIXED_CRIME,PERSON-001474,coordinator,true
NET-000004,MIXED_CRIME,PERSON-001115,bridge,true
NET-000004,MIXED_CRIME,PERSON-000180,member,true
NET-000004,MIXED_CRIME,PERSON-001610,bridge,true
NET-000004,MIXED_CRIME,PERSON-001262,coordinator,true
NET-000004,MIXED_CRIME,PERSON-002060,coordinator,true
NET-000004,MIXED_CRIME,PERSON-000440,associate,true
NET-000004,MIXED_CRIME,PERSON-000267,coordinator,true
NET-000004,MIXED_CRIME,PERSON-000792,associate,true
NET-000004,MIXED_CRIME,PERSON-002900,associate,true
NET-000004,MIXED_CRIME,PERSON-002618,associate,true
NET-000004,MIXED_CRIME,PERSON-001757,bridge,true
NET-000005,CYBERCRIME,PERSON-001349,associate,true
NET-000005,CYBERCRIME,PERSON-001658,coordinator,true
NET-000005,CYBERCRIME,PERSON-002388,bridge,true
NET-000005,CYBERCRIME,PERSON-001589,coordinator,true
NET-000005,CYBERCRIME,PERSON-000898,coordinator,true
NET-000005,CYBERCRIME,PERSON-002408,member,true
NET-000005,CYBERCRIME,PERSON-000922,coordinator,true
NET-000005,CYBERCRIME,PERSON-000693,member,true
NET-000005,CYBERCRIME,PERSON-001955,bridge,true
NET-000005,CYBERCRIME,PERSON-000819,associate,true
NET-000005,CYBERCRIME,PERSON-002222,bridge,true
NET-000005,CYBERCRIME,PERSON-002240,coordinator,true
NET-000005,CYBERCRIME,PERSON-001508,coordinator,true
NET-000005,CYBERCRIME,PERSON-000051,bridge,true
NET-000005,CYBERCRIME,PERSON-001573,associate,true
NET-000005,CYBERCRIME,PERSON-002748,associate,true
NET-000005,CYBERCRIME,PERSON-001017,coordinator,true
NET-000005,CYBERCRIME,PERSON-001056,coordinator,true
NET-000005,CYBERCRIME,PERSON-001327,coordinator,true
NET-000005,CYBERCRIME,PERSON-000774,coordinator,true
NET-000005,CYBERCRIME,PERSON-002990,coordinator,true
NET-000005,CYBERCRIME,PERSON-001457,coordinator,true
NET-000005,CYBERCRIME,PERSON-001619,bridge,true
NET-000005,CYBERCRIME,PERSON-002975,coordinator,true
NET-000005,CYBERCRIME,PERSON-002466,associate,true
NET-000005,CYBERCRIME,PERSON-002803,associate,true
NET-000006,FINANCIAL_FRAUD,PERSON-000682,member,true
NET-000006,FINANCIAL_FRAUD,PERSON-002737,associate,true
NET-000006,FINANCIAL_FRAUD,PERSON-000042,bridge,true
NET-000006,FINANCIAL_FRAUD,PERSON-000473,bridge,true
NET-000006,FINANCIAL_FRAUD,PERSON-000165,coordinator,true
NET-000006,FINANCIAL_FRAUD,PERSON-001481,associate,true
NET-000006,FINANCIAL_FRAUD,PERSON-000275,bridge,true
NET-000006,FINANCIAL_FRAUD,PERSON-002068,associate,true
NET-000006,FINANCIAL_FRAUD,PERSON-000032,coordinator,true
NET-000007,ORGANIZED_CRIME,PERSON-001334,bridge,true
NET-000007,ORGANIZED_CRIME,PERSON-000260,member,true
NET-000007,ORGANIZED_CRIME,PERSON-000499,associate,true
NET-000007,ORGANIZED_CRIME,PERSON-000245,coordinator,true
NET-000007,ORGANIZED_CRIME,PERSON-000943,associate,true
NET-000007,ORGANIZED_CRIME,PERSON-000825,member,true
NET-000007,ORGANIZED_CRIME,PERSON-001780,member,true
NET-000007,ORGANIZED_CRIME,PERSON-002397,associate,true
NET-000007,ORGANIZED_CRIME,PERSON-002408,coordinator,true
NET-000007,ORGANIZED_CRIME,PERSON-001747,bridge,true
NET-000007,ORGANIZED_CRIME,PERSON-002846,member,true
NET-000007,ORGANIZED_CRIME,PERSON-001691,bridge,true
NET-000007,ORGANIZED_CRIME,PERSON-000374,coordinator,true
NET-000007,ORGANIZED_CRIME,PERSON-001578,coordinator,true
NET-000007,ORGANIZED_CRIME,PERSON-002304,member,true
NET-000007,ORGANIZED_CRIME,PERSON-002393,bridge,true
NET-000007,ORGANIZED_CRIME,PERSON-001847,associate,true
NET-000007,ORGANIZED_CRIME,PERSON-001029,associate,true
NET-000008,ROBBERY_DACOITY,PERSON-000233,bridge,true
NET-000008,ROBBERY_DACOITY,PERSON-000492,bridge,true
NET-000008,ROBBERY_DACOITY,PERSON-001478,associate,true
NET-000008,ROBBERY_DACOITY,PERSON-001615,associate,true
NET-000008,ROBBERY_DACOITY,PERSON-000342,bridge,true
NET-000008,ROBBERY_DACOITY,PERSON-000886,member,true
NET-000008,ROBBERY_DACOITY,PERSON-002082,member,true
NET-000008,ROBBERY_DACOITY,PERSON-001059,coordinator,true
NET-000008,ROBBERY_DACOITY,PERSON-000920,coordinator,true
NET-000008,ROBBERY_DACOITY,PERSON-000144,member,true
NET-000008,ROBBERY_DACOITY,PERSON-000302,bridge,true
NET-000008,ROBBERY_DACOITY,PERSON-001880,coordinator,true
NET-000008,ROBBERY_DACOITY,PERSON-002122,coordinator,true
NET-000008,ROBBERY_DACOITY,PERSON-000489,member,true
NET-000008,ROBBERY_DACOITY,PERSON-000305,bridge,true
NET-000008,ROBBERY_DACOITY,PERSON-001830,bridge,true
NET-000009,NARCOTICS,PERSON-001425,member,true
NET-000009,NARCOTICS,PERSON-000822,coordinator,true
NET-000009,NARCOTICS,PERSON-002986,member,true
NET-000009,NARCOTICS,PERSON-002759,member,true
NET-000009,NARCOTICS,PERSON-001071,member,true
NET-000009,NARCOTICS,PERSON-000613,associate,true
NET-000009,NARCOTICS,PERSON-002068,associate,true
NET-000009,NARCOTICS,PERSON-001578,associate,true
NET-000010,HUMAN_TRAFFICKING,PERSON-002377,member,true
NET-000010,HUMAN_TRAFFICKING,PERSON-000135,member,true
NET-000010,HUMAN_TRAFFICKING,PERSON-002442,coordinator,true
NET-000010,HUMAN_TRAFFICKING,PERSON-001792,member,true
NET-000010,HUMAN_TRAFFICKING,PERSON-000622,associate,true
NET-000010,HUMAN_TRAFFICKING,PERSON-000647,associate,true
NET-000010,HUMAN_TRAFFICKING,PERSON-000057,coordinator,true
NET-000010,HUMAN_TRAFFICKING,PERSON-001880,associate,true
