Sl. No.,Crime Head,Cases Pending Investigation from Previous Year - ( Col.3),Cases Reported during the year - ( Col.4),Cases Reopened for Investigation - ( Col.5),Total Cases for Investigation (Col.3+Col.4+Col.5) - ( Col.6),Cases Not Investigated Under 157_1_b CRPC - ( Col.7),Cases Transferred to Other State or Agency - ( Col.8),Cases Withdrawn by the Govt during Investigation - ( Col.9),Final Report - Cases Ended as FR Non Cognizable - ( Col.10),Final Report - Cases Ended as Final Report False - ( Col.11),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute - ( Col.12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue - ( Col.13),Final Report - Cases Abated during Investigation - ( Col.14),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) - ( Col.15),Charge Sheets Submitted - Cases ChargeSheeted Out of cases From Prev. Year - ( Col.16),Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year - ( Col.17),Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) - ( Col.18),Total Cases Disposed Off by Police (Col.7+8+15+18) - ( Col.19),Cases Quashed at Investigation Stage - ( Col.20),Cases Stayed at Investigation Stage - ( Col.21),Cases Pending Invsgn.at end of the year (Col.6-9-19-20) - ( Col.22),Chargesheeting Rate (Col.18/19*100) - ( Col.23),Pendency Percentage (Col.22/6*100) - ( Col.24)
1,Murder with Rape/Gang Rape,180,230,0,410,0,0,0,0,10,1,27,0,38,42,188,230,268,0,0,142,85.8,34.6
2,Dowry Deaths,3231,6156,15,9402,0,6,0,3,187,159,270,2,621,1832,4056,5888,6515,1,2,2886,90.4,30.7
3,Abetment to Suicide of Women,3498,4825,3,8326,0,3,0,3,169,114,151,6,443,1414,2865,4279,4725,7,3,3594,90.6,43.2
4,Miscarriage,137,309,0,446,0,1,0,0,31,8,74,0,113,38,145,183,297,1,0,148,61.6,33.2
5,Acid Attack,53,113,1,167,0,0,0,0,3,4,12,0,19,15,71,86,105,0,0,62,81.9,37.1
6,Attempt to Acid Attack,37,41,0,78,0,1,0,0,6,2,2,0,10,7,20,27,38,1,0,39,71.1,50
7,Cruelty by Husband or his relatives,49000,133676,115,182791,0,100,0,190,6176,5847,4761,26,17000,27930,91322,119252,136352,469,114,45970,87.5,25.1
8,Kidnapping and Abduction of Women,49540,88605,159,138304,2,26,0,128,15678,27002,11667,211,54686,9728,23371,33099,87813,70,25,50421,37.7,36.5
8.1,Kidnapping and Abduction,24391,47867,3,72261,1,17,0,104,9610,19563,3977,195,33449,3070,9252,12322,45789,28,9,26444,26.9,36.6
8.2,Kidnapping and Abduction in order to Murder,90,53,0,143,0,0,0,1,4,17,11,0,33,19,16,35,68,0,0,75,51.5,52.4
8.3,Kidnapping for Ransom,84,115,0,199,0,0,0,0,11,17,10,0,38,17,37,54,92,0,0,107,58.7,53.8
8.4,Kidnapping and Abduction of Women to compel her for marriage,18354,30496,114,48964,1,4,0,18,3847,5781,6254,7,15907,4978,10866,15844,31756,39,15,17169,49.9,35.1
8.4A,Women,8825,15859,22,24706,1,3,0,18,1853,3121,4429,0,9421,2780,5453,8233,17658,3,13,7045,46.6,28.5
8.4B,Girls,9529,14637,92,24258,0,1,0,0,1994,2660,1825,7,6486,2198,5413,7611,14098,36,2,10124,54,41.7
8.5,Procuration of Minor Girls,1632,1858,13,3503,0,1,0,4,590,98,418,0,1110,588,674,1262,2373,0,1,1130,53.2,32.3
8.6,Importation of Girls from Foreign Country,4,2,0,6,0,0,0,0,0,0,0,0,0,2,1,3,3,0,0,3,100,50
