Sl. No.,State/UT,Persons Arrested - Male - ( Col. 3),Persons Arrested - Female - ( Col. 4),Persons Arrested - Transgender - ( Col. 5),Persons Arrested - Total - ( Col. 6),Persons Charge sheeted - Male - ( Col. 7),Persons Charge sheeted - Female - ( Col. 8),Persons Charge sheeted - Transgender - ( Col. 9),Persons Charge sheeted - Total - ( Col. 10),Persons Convicted - Male - ( Col. 11),Persons Convicted - Female - ( Col. 12),Persons Convicted - Transgender - ( Col. 13),Persons Convicted - Total - ( Col. 14),Persons Discharged - Male - ( Col. 15),Persons Discharged - Female - ( Col. 16),Persons Discharged - Transgender - ( Col. 17),Persons Discharged - Total - ( Col. 18),Persons Acquitted - Male - ( Col. 19),Persons Acquitted - Female - ( Col. 20),Persons Acquitted - Transgender - ( Col. 21),Persons Acquitted - Total - ( Col. 22)
1,Andhra Pradesh,82693,8355,28,91076,215225,24388,74,239687,75250,2901,0,78151,2167,46,0,2213,59681,6185,4,65870
2,Arunachal Pradesh,1872,67,0,1939,1627,35,0,1662,213,3,0,216,173,4,0,177,375,16,0,391
3,Assam,51284,574,0,51858,46927,382,0,47309,4647,17,0,4664,407,0,0,407,25291,141,0,25432
4,Bihar,170907,6480,0,177387,273647,18126,1,291774,12513,343,0,12856,1638,275,0,1913,14468,689,0,15157
5,Chhattisgarh,86240,6235,0,92475,83288,6215,1,89504,14248,773,0,15021,8334,93,0,8427,34481,2410,0,36891
6,Goa,1673,72,0,1745,2289,197,0,2486,424,17,0,441,286,9,0,295,1486,113,0,1599
7,Gujarat,155639,9186,41,164866,204377,13633,46,218056,90424,683,0,91107,8019,213,0,8232,146132,10440,0,156572
8,Haryana,98733,4983,3,103719,92968,4498,2,97468,15390,255,0,15645,87,0,0,87,36538,1664,0,38202
9,Himachal Pradesh,7986,714,0,8700,16855,2425,4,19284,2268,81,0,2349,61,2,0,63,7126,803,0,7929
10,Jharkhand,37711,1760,0,39471,49978,2863,0,52841,6480,58,0,6538,352,2,0,354,20634,1055,0,21689
11,Karnataka,125621,10807,37,136465,203241,14555,44,217840,43323,457,0,43780,311,19,0,330,97020,6519,0,103539
12,Kerala,198563,6026,6,204595,292176,6892,13,299081,206772,657,0,207429,820,22,0,842,34940,635,0,35575
13,Madhya Pradesh,127393,7250,9,134652,405602,30176,24,435802,115762,3192,0,118954,26321,1446,0,27767,107878,7192,3,115073
14,Maharashtra,249718,13127,102,262947,427228,28881,97,456206,84398,571,0,84969,14918,375,0,15293,122452,11296,0,133748
15,Manipur,845,68,0,913,309,4,0,313,16,0,0,16,3,0,0,3,30,1,0,31
16,Meghalaya,805,17,0,822,974,80,0,1054,320,1,0,321,363,6,0,369,702,32,0,734
17,Mizoram,2266,193,0,2459,2275,173,0,2448,2114,114,0,2228,33,2,0,35,72,7,0,79
18,Nagaland,906,18,0,924,674,4,0,678,189,0,0,189,19,0,0,19,72,0,0,72
19,Odisha,51188,2224,0,53412,229566,12273,0,241839,15992,39,0,16031,0,0,0,0,45553,884,0,46437
20,Punjab,60273,3872,2,64147,50669,2643,2,53314,11721,398,0,12119,622,83,0,705,21672,1181,0,22853
21,Rajasthan,165143,10506,0,175649,180992,12362,0,193354,49442,2047,0,51489,14401,874,0,15275,41522,2298,0,43820
22,Sikkim,364,9,0,373,209,7,0,216,44,0,0,44,23,4,0,27,222,5,0,227
23,Tamil Nadu,339342,30703,34,370079,207091,12279,2,219372,89046,2316,2,91364,268,7,0,275,83211,7085,0,90296
24,Telangana,53442,3607,5,57054,169519,17174,28,186721,44758,1996,0,46754,0,0,0,0,34938,2745,0,37683
25,Tripura,2748,80,3,2831,5921,439,3,6363,701,46,0,747,0,0,0,0,2043,225,0,2268
26,Uttar Pradesh,475652,17382,1,493035,795073,39526,4,834603,163548,2621,4,166173,7349,180,0,7529,53840,1842,0,55682
27,Uttarakhand,9082,213,0,9295,19874,871,0,20745,3727,16,0,3743,368,22,0,390,2731,37,0,2768
28,West Bengal,123438,6572,0,130010,356068,18932,0,375000,6120,142,0,6262,886,9,0,895,91990,6809,0,98799
Total State (S),Total State (S),2681527,151100,271,2832898,4334642,270033,345,4605020,1059850,19744,6,1079600,88229,3693,0,91922,1087100,72309,7,1159416
29,Andaman and Nicobar Islands,488,31,0,519,618,69,0,687,72,8,0,80,2,1,0,3,281,19,0,300
30,Chandigarh,2097,112,0,2209,2239,127,0,2366,841,32,0,873,1,1,0,2,1180,45,0,1225
31,Dadra and Nagar Haveli and Daman and Diu,1095,59,0,1154,1038,57,0,1095,36,16,0,52,1,0,0,1,869,7,0,876
32,Delhi,119572,3315,5,122892,112681,2855,5,115541,47471,798,1,48270,5154,163,0,5317,9692,416,0,10108
33,Jammu and Kashmir,35293,2762,0,38055,34839,2708,0,37547,7363,208,0,7571,806,55,0,861,10761,627,0,11388
34,Ladakh,399,1,0,400,420,1,0,421,369,1,0,370,13,0,0,13,37,0,0,37
35,Lakshadweep,42,1,0,43,59,1,0,60,28,0,0,28,0,0,0,0,70,1,0,71
36,Puducherry,4493,358,3,4854,3261,289,2,3552,780,15,0,795,239,14,0,253,578,28,0,606
Total UT (S),Total UT (S),163479,6639,8,170126,155155,6107,7,161269,56960,1078,1,58039,6216,234,0,6450,23468,1143,0,24611
Total All India,Total All India,2845006,157739,279,3003024,4489797,276140,352,4766289,1116810,20822,7,1137639,94445,3927,0,98372,1110568,73452,7,1184027
