Sl. No.,City,A. Offences under I.T. Act - Tampering Computer Source documents (Sec.65) -,A. Offences under I.T. Act - Computer Related Offences - Computer Related Offences (Total),A. Offences under I.T. Act - Computer Related Offences - A) Computer Related Offences (Sec.66) (Total),A. Offences under I.T. Act - Computer Related Offences - Computer Related Offences (Sec.66)a1) Ransom-ware,A. Offences under I.T. Act - Computer Related Offences - a2) Offences other than Ransom-ware,A. Offences under I.T. Act - Computer Related Offences - B) Dishonesty receiving stolen computer resource or communication device (Sec.66B),A. Offences under I.T. Act - Computer Related Offences - C) Identity Theft (Sec.66C),A. Offences under I.T. Act - Computer Related Offences - D) Cheating by personation by using computer resource (Sec.66D),A. Offences under I.T. Act - Computer Related Offences - E) Violation of Privacy (Sec.66E),A. Offences under I.T. Act - Cyber Terrorism (Sec.66 F),A. Offences under I.T. Act - Publication/ transmission of obscene / sexually explicit act in electronic form (Sec. 67) - Publication/ transmission of obscene / sexually explicit act in electronic form (Total),A. Offences under I.T. Act - Publication/ transmission of obscene / sexually explicit act in electronic form (Sec. 67) - A) Publishing or transmitting obscene material in Electronic Form,A. Offences under I.T. Act - Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - B) Publishing or transmitting of material containing Sexually explicit act in electronic form (Sec.67A),A. Offences under I.T. Act - Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - C) Publishing or transmitting of material depicting children in Sexually explicit act in electronic form (Sec.67B),A. Offences under I.T. Act - Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - D) Preservation and retention of information by intermediaries (Sec.67C),A. Offences under I.T. Act - Publication/transmission of obscene / sexually explicit act in electronic form (Sec. 67) - E) Other sub-sections of Sec. 67 IT Act,A. Offences under I.T. Act - Interception or Monitoring or decryption of Information (Sec.69),A. Offences under I.T. Act - Un-authorized access/attempt to access to protected computer system (Sec.70),A. Offences under I.T. Act - Abetment to Commit Offences (Sec.84 B),A. Offences under I.T. Act - Attempt to Commit Offences (Sec.84C),A. Offences under I.T. Act - Other Sections of IT Act,Total Offences under I.T. Act,B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Abetment of Suicide (Online) (Sec.305/306 IPC),B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Cyber Stalking/ Bullying of Women/ Children (Sec.354D IPC),B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Data theft (Sec.379 to 381),"B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - Fraud (Sec.420 r/w Sec.465,468- 471 IPC) (Total)","B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - A) Credit Card/Debit Card","B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - B) ATMs","B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - C) Online Banking Fraud","B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - D) OTP Frauds","B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fraud (Sec.420 r/w Sec.465, 468- 471 IPC) - E) Others",B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Cheating (Sec.420 IPC),"B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Forgery (Sec.465, 468 and 471)",B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Defamation/ Morphing (Sec.469 IPC r/w IPC and Indecent representation of women Act),B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fake Profile (r/w IPC/SLL),B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Counterfeiting - Counterfeiting (Total),B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Counterfeiting - A) Currency (Sec.489A to 489E),B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Counterfeiting - B) Stamps (Sec.255),"B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Cyber Blackmailing/ Threatening (Sec.506,503,384 IPC)",B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fake News on Social Media (Sec.505),B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Other Offences (r/w IT Act),Total Offences under IPC,C. Offences under SLL (Involving Communication Devices as Medium/ Target) r/w IT Act - Gambling Act (Online Gambling),C. Offences under SLL (Involving Communication Devices as Medium/ Target) r/w IT Act - Lotteries Act (Online Lotteries),"C. Offences under SLL (Involving Communication Devices as Medium/ Target) r/w IT Act - Copy Right Act, 1957","C. Offences under SLL (Involving Communication Devices as Medium/ Target) r/w IT Act - Trade Marks Act, 1999",C. Offences under SLL (Involving Communication Devices as Medium/ Target) r/w IT Act - Other SLL Crimes,C. Offences under SLL (Involving Communication Devices as Medium/ Target) r/w IT Act - Total Offences under SLL,Total Cyber Crimes (IT Act + IPC r/w IT Act + SLL r/w IT Act)
1,Ahmedabad (Gujarat),0,47,2,0,2,0,41,3,1,0,47,42,4,1,0,0,0,0,0,0,0,94,2,8,1,0,0,0,0,0,0,94,13,0,0,0,0,0,3,0,22,143,0,0,0,0,9,9,246
2,Bengaluru (Karnataka),4,17122,109,22,87,5,844,16116,48,1,471,250,119,95,3,4,0,0,0,1,32,17631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17631
3,Chennai (Tamil Nadu),0,38,17,13,4,0,2,12,7,0,34,20,14,0,0,0,0,0,0,0,1,73,0,0,0,704,94,16,1,164,429,509,36,0,0,0,0,0,2,13,1,1265,0,0,0,1,13,14,1352
4,Coimbatore (Tamil Nadu),0,6,4,0,4,0,0,2,0,0,3,0,1,0,0,2,0,0,0,0,0,9,0,1,0,86,0,2,84,0,0,100,0,0,0,0,0,0,1,0,10,198,0,0,0,0,0,0,207
5,Delhi City,1,49,6,0,6,0,31,7,5,0,61,9,34,9,0,9,0,0,0,0,17,128,0,18,2,163,6,7,35,12,103,58,1,0,3,0,0,0,9,0,25,279,0,0,0,0,0,0,407
6,Ghaziabad (Uttar Pradesh),0,760,10,0,10,1,12,732,5,0,117,98,19,0,0,0,0,0,0,0,3,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880
7,Hyderabad (Telangana),0,199,5,5,0,1,97,96,0,0,110,63,47,0,0,0,0,0,0,0,0,309,0,163,0,4076,211,156,709,2858,142,0,14,7,43,0,0,0,152,54,28,4537,6,0,3,0,0,9,4855
8,Indore (Madhya Pradesh),0,3,0,0,0,0,1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,5,0,14,0,2,0,0,1,1,0,6,0,3,0,0,0,0,5,1,48,79,2,0,0,0,0,2,86
9,Jaipur (Rajasthan),0,276,1,0,1,0,125,150,0,0,75,6,42,14,0,13,0,0,0,0,71,422,0,4,0,8,0,0,1,0,7,74,0,0,0,0,0,0,2,1,40,129,0,0,0,0,0,0,551
10,Kanpur (Uttar Pradesh),0,422,296,0,296,0,126,0,0,0,59,59,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481
11,Kochi (Kerala),0,10,2,0,2,0,5,2,1,2,12,2,3,7,0,0,0,0,0,0,2,26,0,4,0,1,0,0,0,0,1,39,1,0,1,0,0,0,1,0,29,76,0,0,0,0,10,10,112
12,Kolkata (West Bengal),0,2,0,0,0,0,1,0,1,0,4,1,0,0,0,3,0,0,0,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,21
13,Kozhikode (Kerala),0,5,0,0,0,0,1,2,2,0,5,0,0,5,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,86,0,0,0,0,0,0,4,0,11,104,0,0,0,0,0,0,114
14,Lucknow (Uttar Pradesh),1,1298,1162,376,786,1,33,88,14,0,151,98,53,0,0,0,0,0,0,0,3,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1453
15,Mumbai (Maharashtra),0,32,2,1,1,0,19,11,0,0,11,1,3,0,2,5,0,0,0,0,1,44,1,119,20,1140,166,16,69,128,761,2396,45,1,0,0,0,0,28,2,334,4086,0,0,0,0,1,1,4131
16,Nagpur (Maharashtra),0,21,0,0,0,0,18,3,0,0,11,2,0,7,2,0,0,0,0,0,0,32,0,22,0,24,0,0,0,0,24,203,0,0,0,0,0,0,1,1,23,274,3,0,0,0,0,3,309
17,Patna (Bihar),0,5,0,0,0,0,0,5,0,0,2,0,0,0,0,2,0,0,0,0,0,7,0,8,2,184,102,82,0,0,0,32,2,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,235
18,Pune (Maharashtra),0,28,0,0,0,0,17,10,1,0,16,8,7,1,0,0,0,0,0,0,1,45,0,12,1,32,5,5,10,9,3,381,5,0,1,0,0,0,10,0,0,442,0,0,0,0,0,0,487
19,Surat (Gujarat),0,145,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,3,0,0,0,0,0,0,190,4,0,0,0,0,0,14,0,41,252,0,0,0,0,0,0,397
Total Cities,Total Cities,6,20468,1616,417,1199,8,1518,17240,86,3,1191,659,347,140,7,38,0,0,0,1,144,21813,3,373,32,6420,584,284,910,3172,1470,4168,121,11,48,0,0,0,232,72,614,12094,11,0,3,1,33,48,33955
