account_id,person_id,institution_type,account_type,masked_identifier,opened_date,status,synthetic_flag
ACCT-000001,PERSON-001667,Synthetic Cooperative Bank,Digital Wallet,SYN-XXXX-0001,2022-09-20,Active,true
ACCT-000002,PERSON-001670,Synthetic Bank A,Current,SYN-XXXX-0002,2022-10-09,Dormant,true
ACCT-000003,PERSON-001589,Synthetic Bank A,Current,SYN-XXXX-0003,2022-12-02,Active,true
ACCT-000004,PERSON-000193,Synthetic Bank B,Current,SYN-XXXX-0004,2022-01-05,Active,true
ACCT-000005,PERSON-000245,Synthetic Bank B,Digital Wallet,SYN-XXXX-0005,2022-07-27,Active,true
ACCT-000006,PERSON-001941,Synthetic Bank B,Digital Wallet,SYN-XXXX-0006,2022-12-10,Active,true
ACCT-000007,PERSON-002397,Synthetic Digital Bank,Digital Wallet,SYN-XXXX-0007,2022-06-11,Active,true
ACCT-000008,PERSON-001578,Synthetic Digital Bank,Digital Wallet,SYN-XXXX-0008,2022-04-23,Dormant,true
ACCT-000009,PERSON-001578,Synthetic Cooperative Bank,Savings,SYN-XXXX-0009,2023-03-14,Active,true
ACCT-000010,PERSON-002304,Synthetic Bank B,Savings,SYN-XXXX-0010,2022-05-08,Active,true
ACCT-000011,PERSON-001847,Synthetic Bank A,Digital Wallet,SYN-XXXX-0011,2023-07-12,Active,true
ACCT-000012,PERSON-000862,Synthetic Bank B,Current,SYN-XXXX-0012,2022-10-20,Active,true
ACCT-000013,PERSON-001431,Synthetic Bank C,Digital Wallet,SYN-XXXX-0013,2023-06-22,Dormant,true
ACCT-000014,PERSON-001701,Synthetic Bank B,Current,SYN-XXXX-0014,2023-01-08,Active,true
ACCT-000015,PERSON-002106,Synthetic Digital Bank,Savings,SYN-XXXX-0015,2023-08-16,Active,true
ACCT-000016,PERSON-002106,Synthetic Bank C,Savings,SYN-XXXX-0016,2023-02-07,Dormant,true
ACCT-000017,PERSON-001803,Synthetic Bank B,Current,SYN-XXXX-0017,2023-07-21,Active,true
ACCT-000018,PERSON-000484,Synthetic Digital Bank,Current,SYN-XXXX-0018,2023-02-14,Dormant,true
ACCT-000019,PERSON-000599,Synthetic Cooperative Bank,Savings,SYN-XXXX-0019,2023-05-22,Active,true
ACCT-000020,PERSON-000838,Synthetic Bank C,Current,SYN-XXXX-0020,2022-07-04,Active,true
ACCT-000021,PERSON-000341,Synthetic Digital Bank,Savings,SYN-XXXX-0021,2022-01-28,Dormant,true
ACCT-000022,PERSON-000342,Synthetic Bank C,Savings,SYN-XXXX-0022,2022-03-18,Dormant,true
ACCT-000023,PERSON-001262,Synthetic Bank A,Savings,SYN-XXXX-0023,2022-12-30,Active,true
ACCT-000024,PERSON-001262,Synthetic Bank B,Current,SYN-XXXX-0024,2022-02-28,Active,true
ACCT-000025,PERSON-001648,Synthetic Digital Bank,Digital Wallet,SYN-XXXX-0025,2023-02-03,Active,true
ACCT-000026,PERSON-002900,Synthetic Digital Bank,Savings,SYN-XXXX-0026,2022-09-06,Active,true
ACCT-000027,PERSON-002246,Synthetic Bank B,Digital Wallet,SYN-XXXX-0027,2022-11-19,Active,true
ACCT-000028,PERSON-002609,Synthetic Bank B,Savings,SYN-XXXX-0028,2022-05-26,Active,true
