alias_id,person_id,alias,alias_type,confidence,synthetic_flag
ALIAS-000001,PERSON-001869,aditya95,Operational Alias,0.89,true
ALIAS-000002,PERSON-000979,Das Online,Operational Alias,0.68,true
ALIAS-000003,PERSON-002949,orbit4,Business Name,0.63,true
ALIAS-000004,PERSON-001432,aditya71,Online Handle,0.94,true
ALIAS-000005,PERSON-000201,arj_95,Online Handle,0.92,true
ALIAS-000006,PERSON-002588,aditya48,Business Name,0.63,true
ALIAS-000007,PERSON-001773,vihaan63,Online Handle,0.77,true
ALIAS-000008,PERSON-001147,Nair Online,Online Handle,0.98,true
ALIAS-000009,PERSON-001615,kar_920,Nickname,0.75,true
ALIAS-000010,PERSON-001301,aar_567,Business Name,0.86,true
ALIAS-000011,PERSON-001044,north25,Online Handle,0.85,true
ALIAS-000012,PERSON-000982,rah_342,Business Name,0.95,true
ALIAS-000013,PERSON-000847,kab_453,Operational Alias,0.7,true
ALIAS-000014,PERSON-000658,orbit49,Online Handle,0.96,true
ALIAS-000015,PERSON-000673,sim_973,Operational Alias,0.95,true
ALIAS-000016,PERSON-000642,shadow12,Known As,0.92,true
ALIAS-000017,PERSON-002145,roh_708,Online Handle,0.7,true
ALIAS-000018,PERSON-000341,raven10,Operational Alias,0.8,true
ALIAS-000019,PERSON-000872,raven65,Business Name,0.74,true
ALIAS-000020,PERSON-000919,Iyer Online,Business Name,0.63,true
ALIAS-000021,PERSON-000335,ish_579,Known As,0.67,true
ALIAS-000022,PERSON-000671,north75,Nickname,0.64,true
ALIAS-000023,PERSON-001913,north62,Operational Alias,0.75,true
ALIAS-000024,PERSON-000660,Deshmukh Online,Operational Alias,0.88,true
ALIAS-000025,PERSON-000898,kab_661,Online Handle,0.85,true
ALIAS-000026,PERSON-000916,ais_69,Nickname,0.82,true
ALIAS-000027,PERSON-000976,nik_27,Business Name,0.83,true
ALIAS-000028,PERSON-001417,diy_310,Operational Alias,0.87,true
ALIAS-000029,PERSON-000943,aar_168,Known As,0.9,true
ALIAS-000030,PERSON-001561,raj56,Business Name,0.69,true
ALIAS-000031,PERSON-002729,Deshmukh Online,Operational Alias,0.74,true
ALIAS-000032,PERSON-001150,kavya2,Online Handle,0.95,true
ALIAS-000033,PERSON-000791,shadow35,Online Handle,0.85,true
ALIAS-000034,PERSON-000413,kar_747,Online Handle,0.7,true
ALIAS-000035,PERSON-000874,north28,Operational Alias,0.87,true
