cdr_id,caller_phone_id,receiver_phone_id,timestamp,duration_seconds,call_type,cell_tower_id,location_id,network_id,synthetic_flag
CDR-000001,PHONE-007568,PHONE-005322,2023-09-26T00:38:00,856,VOICE,TOWER-0341,LOC-000895,NET-000022,true
CDR-000002,PHONE-006559,PHONE-001962,2023-07-02T13:02:00,366,VOICE,TOWER-0619,LOC-001381,NET-000025,true
CDR-000003,PHONE-006479,PHONE-004511,2022-12-07T03:39:00,667,SMS,TOWER-0316,LOC-001535,NET-000028,true
CDR-000004,PHONE-005108,PHONE-007757,2023-02-27T04:54:00,284,VOICE,TOWER-0743,LOC-001565,NET-000005,true
CDR-000005,PHONE-005017,PHONE-004804,2023-08-31T15:08:00,39,SMS,TOWER-0756,LOC-001259,NET-000025,true
CDR-000006,PHONE-003460,PHONE-004405,2023-04-26T04:38:00,746,VOICE,TOWER-0507,LOC-000310,NET-000021,true
CDR-000007,PHONE-010038,PHONE-010938,2024-02-04T14:32:00,399,SMS,TOWER-0579,LOC-000196,,true
CDR-000008,PHONE-001140,PHONE-001321,2023-04-26T15:50:00,275,VOICE,TOWER-0768,LOC-001099,NET-000005,true
CDR-000009,PHONE-006518,PHONE-000959,2023-06-04T01:13:00,113,SMS,TOWER-0059,LOC-001311,NET-000017,true
CDR-000010,PHONE-005232,PHONE-009308,2023-03-19T21:57:00,514,VOICE,TOWER-0719,LOC-002752,NET-000027,true
CDR-000011,PHONE-010618,PHONE-011560,2023-12-30T10:28:00,223,SMS,TOWER-0655,LOC-001558,,true
CDR-000012,PHONE-004589,PHONE-001001,2024-01-28T11:48:00,675,VOICE,TOWER-0302,LOC-001438,NET-000019,true
CDR-000013,PHONE-006882,PHONE-001180,2023-05-05T03:29:00,576,VOICE,TOWER-0481,LOC-002460,NET-000021,true
CDR-000014,PHONE-005356,PHONE-001622,2023-10-01T20:09:00,559,SMS,TOWER-0044,LOC-000883,NET-000016,true
CDR-000015,PHONE-009589,PHONE-011896,2023-05-12T05:48:00,275,SMS,TOWER-0010,LOC-002977,,true
CDR-000016,PHONE-006442,PHONE-006791,2023-07-12T21:43:00,798,VOICE,TOWER-0673,LOC-000857,NET-000008,true
CDR-000017,PHONE-006551,PHONE-007734,2023-09-12T19:12:00,25,VOICE,TOWER-0449,LOC-002082,NET-000020,true
CDR-000018,PHONE-003680,PHONE-004652,2023-08-04T17:52:00,308,SMS,TOWER-0050,LOC-001699,NET-000019,true
CDR-000019,PHONE-012020,PHONE-010125,2023-11-02T06:48:00,715,SMS,TOWER-0055,LOC-000246,,true
CDR-000020,PHONE-010554,PHONE-010564,2023-11-25T15:24:00,528,VOICE,TOWER-0100,LOC-000401,,true
CDR-000021,PHONE-006476,PHONE-008844,2024-01-22T04:20:00,217,SMS,TOWER-0383,LOC-000320,NET-000025,true
CDR-000022,PHONE-010775,PHONE-010029,2023-07-31T22:08:00,598,VOICE,TOWER-0269,LOC-002152,,true
CDR-000023,PHONE-004380,PHONE-003227,2023-06-22T01:57:00,697,SMS,TOWER-0067,LOC-000376,NET-000013,true
CDR-000024,PHONE-012019,PHONE-011856,2023-12-17T16:06:00,750,VOICE,TOWER-0507,LOC-000355,,true
CDR-000025,PHONE-005994,PHONE-001587,2022-12-28T13:15:00,403,VOICE,TOWER-0449,LOC-001954,NET-000023,true
CDR-000026,PHONE-004242,PHONE-001414,2022-12-19T23:50:00,448,SMS,TOWER-0703,LOC-002246,NET-000002,true
CDR-000027,PHONE-010829,PHONE-011489,2023-05-10T07:07:00,486,VOICE,TOWER-0647,LOC-001697,,true
CDR-000028,PHONE-005114,PHONE-002921,2023-07-02T04:42:00,84,VOICE,TOWER-0172,LOC-001637,NET-000015,true
CDR-000029,PHONE-006101,PHONE-002181,2023-09-16T17:18:00,815,SMS,TOWER-0333,LOC-002738,NET-000011,true
CDR-000030,PHONE-006110,PHONE-005663,2023-06-11T09:03:00,329,SMS,TOWER-0176,LOC-000489,NET-000013,true
CDR-000031,PHONE-001623,PHONE-001640,2023-08-10T02:31:00,377,VOICE,TOWER-0552,LOC-002079,NET-000023,true
CDR-000032,PHONE-008971,PHONE-002427,2023-09-09T01:09:00,883,VOICE,TOWER-0425,LOC-002255,,true
CDR-000033,PHONE-006334,PHONE-005416,2022-12-17T11:52:00,602,SMS,TOWER-0425,LOC-000107,NET-000015,true
CDR-000034,PHONE-003422,PHONE-003421,2023-01-09T17:54:00,456,SMS,TOWER-0376,LOC-001109,NET-000010,true
CDR-000035,PHONE-002981,PHONE-008391,2023-07-20T21:31:00,776,VOICE,TOWER-0760,LOC-001780,NET-000028,true
CDR-000036,PHONE-007106,PHONE-000564,2023-04-16T05:25:00,623,SMS,TOWER-0677,LOC-000534,NET-000016,true
CDR-000037,PHONE-004406,PHONE-002277,2023-07-12T22:03:00,448,VOICE,TOWER-0202,LOC-000073,NET-000021,true
CDR-000038,PHONE-011333,PHONE-012012,2023-07-07T17:59:00,194,SMS,TOWER-0693,LOC-000690,,true
CDR-000039,PHONE-001180,PHONE-002152,2023-05-10T00:04:00,303,VOICE,TOWER-0555,LOC-002542,NET-000021,true
CDR-000040,PHONE-004804,PHONE-006604,2023-04-26T18:41:00,569,SMS,TOWER-0763,LOC-003007,NET-000025,true
CDR-000041,PHONE-005880,PHONE-005881,2024-01-08T12:27:00,228,SMS,TOWER-0484,LOC-001742,NET-000020,true
CDR-000042,PHONE-002290,PHONE-008028,2022-10-11T05:03:00,157,VOICE,TOWER-0167,LOC-000331,NET-000022,true
