device_id,device_type,person_id,os,first_seen,last_seen,synthetic_flag
DEVICE-000001,Tablet,PERSON-001667,Android,2023-01-07,2023-01-07,true
DEVICE-000002,Smartphone,PERSON-001670,Android,2023-01-07,2023-01-07,true
DEVICE-000003,Tablet,PERSON-001589,Android,2023-01-07,2023-01-07,true
DEVICE-000004,Tablet,PERSON-000193,Android,2023-01-07,2023-01-07,true
DEVICE-000005,Smartphone,PERSON-000193,Android,2023-01-07,2023-01-07,true
DEVICE-000006,Feature Phone,PERSON-000245,Android,2023-08-19,2023-08-19,true
DEVICE-000007,Feature Phone,PERSON-001941,Android,2023-08-19,2023-08-19,true
DEVICE-000008,Tablet,PERSON-001941,Android,2023-08-19,2023-08-19,true
DEVICE-000009,Smartphone,PERSON-002397,Android,2023-08-19,2023-08-19,true
DEVICE-000010,Feature Phone,PERSON-001578,Android,2023-08-19,2023-08-19,true
DEVICE-000011,Tablet,PERSON-002304,Android,2023-08-19,2023-08-19,true
DEVICE-000012,Smartphone,PERSON-001847,Android,2023-08-19,2023-08-19,true
DEVICE-000013,Tablet,PERSON-000862,iOS,2023-11-03,2023-11-03,true
DEVICE-000014,Tablet,PERSON-000862,iOS,2023-11-03,2023-11-03,true
DEVICE-000015,Smartphone,PERSON-001431,Android,2023-11-03,2023-11-03,true
DEVICE-000016,Feature Phone,PERSON-001701,Android,2023-11-03,2023-11-03,true
DEVICE-000017,Smartphone,PERSON-002106,Android,2023-11-03,2023-11-03,true
DEVICE-000018,Feature Phone,PERSON-001803,iOS,2023-11-03,2023-11-03,true
DEVICE-000019,Smartphone,PERSON-000484,Android,2023-11-03,2023-11-03,true
DEVICE-000020,Smartphone,PERSON-000484,iOS,2023-11-03,2023-11-03,true
DEVICE-000021,Smartphone,PERSON-000599,Android,2023-11-03,2023-11-03,true
DEVICE-000022,Feature Phone,PERSON-000838,Android,2023-11-03,2023-11-03,true
DEVICE-000023,Smartphone,PERSON-000838,Android,2023-11-03,2023-11-03,true
DEVICE-000024,Tablet,PERSON-000341,Android,2023-02-12,2023-02-12,true
DEVICE-000025,Tablet,PERSON-000342,iOS,2023-02-12,2023-02-12,true
DEVICE-000026,Smartphone,PERSON-001262,Android,2023-02-12,2023-02-12,true
DEVICE-000027,Feature Phone,PERSON-001648,iOS,2023-02-12,2023-02-12,true
DEVICE-000028,Smartphone,PERSON-002900,iOS,2023-02-12,2023-02-12,true
DEVICE-000029,Feature Phone,PERSON-002900,iOS,2023-02-12,2023-02-12,true
DEVICE-000030,Tablet,PERSON-002246,Android,2023-02-12,2023-02-12,true
DEVICE-000031,Feature Phone,PERSON-002609,iOS,2023-09-26,2023-09-26,true
DEVICE-000032,Tablet,PERSON-000906,Android,2023-09-26,2023-09-26,true
DEVICE-000033,Smartphone,PERSON-000217,iOS,2023-09-26,2023-09-26,true
DEVICE-000034,Feature Phone,PERSON-001768,iOS,2023-09-26,2023-09-26,true
DEVICE-000035,Smartphone,PERSON-002964,iOS,2023-09-26,2023-09-26,true
DEVICE-000036,Feature Phone,PERSON-000492,Android,2023-12-16,2023-12-16,true
DEVICE-000037,Tablet,PERSON-001059,Android,2023-12-16,2023-12-16,true
DEVICE-000038,Smartphone,PERSON-000920,Android,2023-12-16,2023-12-16,true
DEVICE-000039,Smartphone,PERSON-000920,iOS,2023-12-16,2023-12-16,true
DEVICE-000040,Feature Phone,PERSON-000144,Android,2023-12-16,2023-12-16,true
DEVICE-000041,Tablet,PERSON-002999,iOS,2023-12-16,2023-12-16,true
