event_id,case_id,event_type,timestamp,location_id,person_id,vehicle_id,phone_id,description,source,confidence,synthetic_flag
EVENT-000001,CASE-000001,MOVEMENT,2023-01-07T01:59:00,LOC-000002,PERSON-001670,VEH-000002,PHONE-000002,Synthetic timeline event,synthetic,0.76,true
EVENT-000002,CASE-000001,OBSERVATION,2023-01-07T03:42:00,LOC-000002,PERSON-001589,VEH-000003,PHONE-000003,Synthetic timeline event,synthetic,0.81,true
EVENT-000003,CASE-000001,REPORT,2023-01-07T02:19:00,LOC-000002,PERSON-001667,VEH-000001,PHONE-000001,Synthetic timeline event,synthetic,0.69,true
EVENT-000004,CASE-000001,REPORT,2023-01-07T10:56:00,LOC-000001,PERSON-001589,VEH-000003,PHONE-000003,Synthetic timeline event,synthetic,0.99,true
EVENT-000005,CASE-000001,MEETING,2023-01-07T07:33:00,LOC-000001,PERSON-001670,VEH-000002,PHONE-000002,Synthetic timeline event,synthetic,0.67,true
EVENT-000006,CASE-000001,OBSERVATION,2023-01-07T07:09:00,LOC-000001,PERSON-000193,,PHONE-000004,Synthetic timeline event,synthetic,0.97,true
EVENT-000007,CASE-000001,MOVEMENT,2023-01-06T21:27:00,LOC-000003,PERSON-001589,VEH-000003,PHONE-000003,Synthetic timeline event,synthetic,0.79,true
EVENT-000008,CASE-000002,OBSERVATION,2023-08-19T05:43:00,LOC-000005,PERSON-000245,VEH-000004,PHONE-000006,Synthetic timeline event,synthetic,0.95,true
EVENT-000009,CASE-000002,TRANSPORT,2023-08-19T11:52:00,LOC-000005,PERSON-000245,VEH-000004,PHONE-000006,Synthetic timeline event,synthetic,0.9,true
EVENT-000010,CASE-000002,REPORT,2023-08-19T12:03:00,LOC-000004,PERSON-001847,,PHONE-000012,Synthetic timeline event,synthetic,0.99,true
EVENT-000011,CASE-000002,REPORT,2023-08-19T18:37:00,LOC-000004,PERSON-002397,VEH-000006,PHONE-000009,Synthetic timeline event,synthetic,0.65,true
EVENT-000012,CASE-000002,MEETING,2023-08-19T18:43:00,LOC-000004,PERSON-000245,VEH-000004,PHONE-000006,Synthetic timeline event,synthetic,0.79,true
EVENT-000013,CASE-000002,OBSERVATION,2023-08-19T10:39:00,LOC-000005,PERSON-000245,VEH-000004,PHONE-000006,Synthetic timeline event,synthetic,0.72,true
EVENT-000014,CASE-000002,REPORT,2023-08-19T14:11:00,LOC-000005,PERSON-001941,VEH-000005,PHONE-000008,Synthetic timeline event,synthetic,0.8,true
EVENT-000015,CASE-000002,MOVEMENT,2023-08-19T03:31:00,LOC-000004,PERSON-001847,,PHONE-000012,Synthetic timeline event,synthetic,0.74,true
EVENT-000016,CASE-000002,MEETING,2023-08-19T05:59:00,LOC-000004,PERSON-001941,VEH-000005,PHONE-000008,Synthetic timeline event,synthetic,0.97,true
