evidence_id,case_id,evidence_type,source,collected_at,location_id,related_person_id,related_vehicle_id,related_device_id,description,reliability,integrity_sha256,synthetic_flag
EVID-000001,CASE-000001,SURVEILLANCE,Synthetic Source,2023-01-07T03:48:00,LOC-000003,PERSON-001670,VEH-000002,DEVICE-000002,Synthetic evidence record,0.93,2c8f6b53328bfc50b48c71490efab89fc84d7192f3a69056c431c5ecac35c3a8,true
EVID-000002,CASE-000001,SURVEILLANCE,Synthetic Source,2023-01-07T03:48:00,LOC-000002,PERSON-000193,,DEVICE-000005,Synthetic evidence record,0.61,342779e87d40dd6b04c931ea9c6e480a2f999f98b5fb0b3c3bd6799863d8dd39,true
EVID-000003,CASE-000001,PHYSICAL,Synthetic Source,2023-01-07T03:48:00,LOC-000001,PERSON-001589,VEH-000003,DEVICE-000003,Synthetic evidence record,0.94,8d6f92f6ed951341fdaca93946fc9c60e3000a21fa471dbb0ea0c5d2d909034e,true
EVID-000004,CASE-000001,SURVEILLANCE,Synthetic Source,2023-01-07T03:48:00,LOC-000003,PERSON-001670,VEH-000002,DEVICE-000002,Synthetic evidence record,0.72,cb79a6d8390e24663dcae5bb8b9aa6dd2176b07eeb2b43653ea7800b35b3f841,true
EVID-000005,CASE-000001,PHYSICAL,Synthetic Source,2023-01-07T03:48:00,LOC-000001,PERSON-001589,VEH-000003,DEVICE-000003,Synthetic evidence record,0.92,e1e0cccbb20a3180a7b1c7e34d7d7e419022c094fdf16bfe8b18aa0eff615120,true
EVID-000006,CASE-000001,PHYSICAL,Synthetic Source,2023-01-07T03:48:00,LOC-000002,PERSON-001670,VEH-000002,DEVICE-000002,Synthetic evidence record,0.72,ad960894717f235147af544a61cdeef088c47993963a0508231a769daacc4599,true
EVID-000007,CASE-000001,DOCUMENT,Synthetic Source,2023-01-07T03:48:00,LOC-000001,PERSON-000193,,DEVICE-000004,Synthetic evidence record,0.79,6a8801316efcaf1cb4d8a863713cc879e66b0fe1630e032a7a31418c425878e9,true
EVID-000008,CASE-000001,FINANCIAL,Synthetic Source,2023-01-07T03:48:00,LOC-000002,PERSON-001670,VEH-000002,DEVICE-000002,Synthetic evidence record,0.91,f4df0ebb75c8afd3fad85981d646bccf59059dbed2a8edaf96989d9c9c7cfa04,true
EVID-000009,CASE-000002,DIGITAL,Synthetic Source,2023-08-19T11:17:00,LOC-000004,PERSON-002397,VEH-000006,DEVICE-000009,Synthetic evidence record,0.66,cce16dbd34d516b4b8fc96cff9f0c60097a57752476e7e4266b12f5ebf386781,true
EVID-000010,CASE-000002,PHYSICAL,Synthetic Source,2023-08-19T11:17:00,LOC-000004,PERSON-002397,VEH-000006,DEVICE-000009,Synthetic evidence record,0.9,cd765e06058406a8d9f9df7d931ce6768632d1f9899e82e88d5f63f5cc3b3c56,true
EVID-000011,CASE-000002,DIGITAL,Synthetic Source,2023-08-19T11:17:00,LOC-000005,PERSON-002304,VEH-000008,DEVICE-000011,Synthetic evidence record,0.9,81bb5eeb1d31562c318233cc98fcff854fa1b7ae3c505f92d258e5bef1a5eb0a,true
EVID-000012,CASE-000002,DOCUMENT,Synthetic Source,2023-08-19T11:17:00,LOC-000005,PERSON-001578,VEH-000007,DEVICE-000010,Synthetic evidence record,0.84,0b4f3ef039e66f21f43d1ad6b10b9bed1987d7217f70f38c807615b917df1fde,true
EVID-000013,CASE-000002,PHONE,Synthetic Source,2023-08-19T11:17:00,LOC-000004,PERSON-001847,,DEVICE-000012,Synthetic evidence record,0.91,f7da4728f2acab1b0c52fc8a90687c1c98a9612772ad24e811b1758450fe5221,true
EVID-000014,CASE-000002,PHYSICAL,Synthetic Source,2023-08-19T11:17:00,LOC-000004,PERSON-001941,VEH-000005,DEVICE-000007,Synthetic evidence record,0.7,277c30e0a72c8fa8ba6828d1d622aa7809825ea1f5b74411b925dfaf24c5122b,true
