organization_id,name,organization_type,location_id,network_type,status,synthetic_flag
ORG-000001,Everest Trading 001,Front Company,LOC-000003,ORGANIZED_CRIME,Inactive,true
ORG-000002,Indigo Services 002,Digital Services Firm,LOC-000005,ORGANIZED_CRIME,Active,true
ORG-000003,Lotus Transport 003,Construction Firm,LOC-000007,KIDNAPPING,Active,true
ORG-000004,Delta Services 004,Shell-like Synthetic Entity,LOC-000008,HUMAN_TRAFFICKING,Inactive,true
ORG-000005,Northstar Trading 005,Legitimate Business,LOC-000010,NARCOTICS,Active,true
ORG-000006,Orion Logistics 006,Digital Services Firm,LOC-000015,ROBBERY_DACOITY,Inactive,true
ORG-000007,Aster Transport 007,Trading Company,LOC-000019,ROBBERY_DACOITY,Active,true
ORG-000008,Cedar Solutions 008,Trading Company,LOC-000024,CYBERCRIME,Active,true
ORG-000009,Everest Services 009,Digital Services Firm,LOC-000025,FINANCIAL_FRAUD,Inactive,true
ORG-000010,Delta Services 010,Transport Company,LOC-000029,MIXED_CRIME,Active,true
ORG-000011,Everest Transport 011,Trading Company,LOC-000031,CYBERCRIME,Active,true
ORG-000012,Harbor Trading 012,Shell-like Synthetic Entity,LOC-000036,ROBBERY_DACOITY,Inactive,true
ORG-000013,Indigo Logistics 013,Hospitality Business,LOC-000039,KIDNAPPING,Active,true
ORG-000014,Lotus Solutions 014,Front Company,LOC-000043,MIXED_CRIME,Active,true
ORG-000015,Northstar Enterprises 015,Legitimate Business,LOC-000048,ORGANIZED_CRIME,Active,true
ORG-000016,Northstar Trading 016,Digital Services Firm,LOC-000052,ORGANIZED_CRIME,Inactive,true
ORG-000017,Lotus Transport 017,Transport Company,LOC-000055,ROBBERY_DACOITY,Active,true
ORG-000018,Delta Solutions 018,Legitimate Business,LOC-000057,HUMAN_TRAFFICKING,Inactive,true
ORG-000019,Aster Enterprises 019,Transport Company,LOC-000059,MIXED_CRIME,Active,true
ORG-000020,Falcon Solutions 020,Construction Firm,LOC-000061,MIXED_CRIME,Active,true
ORG-000021,Aster Transport 021,Shell-like Synthetic Entity,LOC-000064,MIXED_CRIME,Active,true
ORG-000022,Aster Trading 022,Logistics Company,LOC-000066,FINANCIAL_FRAUD,Active,true
ORG-000023,Orion Services 023,Trading Company,LOC-000070,MIXED_CRIME,Active,true
ORG-000024,Northstar Solutions 024,Trading Company,LOC-000075,HUMAN_TRAFFICKING,Active,true
ORG-000025,Aster Trading 025,Legitimate Business,LOC-000076,MIXED_CRIME,Active,true
ORG-000026,Aster Trading 026,Logistics Company,LOC-000080,ORGANIZED_CRIME,Inactive,true
ORG-000027,Blue Enterprises 027,Legitimate Business,LOC-000082,MIXED_CRIME,Inactive,true
ORG-000028,Cedar Solutions 028,Construction Firm,LOC-000084,MIXED_CRIME,Inactive,true
ORG-000029,Everest Enterprises 029,Digital Services Firm,LOC-000087,CYBERCRIME,Active,true
ORG-000030,Delta Enterprises 030,Shell-like Synthetic Entity,LOC-000089,ORGANIZED_CRIME,Inactive,true
ORG-000031,Orion Solutions 031,Construction Firm,LOC-000092,ORGANIZED_CRIME,Inactive,true
ORG-000032,Orion Enterprises 032,Digital Services Firm,LOC-000093,ORGANIZED_CRIME,Active,true
ORG-000033,Everest Enterprises 033,Digital Services Firm,LOC-000095,ORGANIZED_CRIME,Active,true
ORG-000034,Blue Logistics 034,Hospitality Business,LOC-000099,ORGANIZED_CRIME,Inactive,true
ORG-000035,Cedar Logistics 035,Hospitality Business,LOC-000103,ROBBERY_DACOITY,Active,true
ORG-000036,Everest Trading 036,Logistics Company,LOC-000107,MIXED_CRIME,Inactive,true
ORG-000037,Aster Trading 037,Digital Services Firm,LOC-000108,ORGANIZED_CRIME,Inactive,true
ORG-000038,Everest Logistics 038,Legitimate Business,LOC-000111,ORGANIZED_CRIME,Active,true
ORG-000039,Indigo Services 039,Construction Firm,LOC-000113,FINANCIAL_FRAUD,Active,true
ORG-000040,Cedar Logistics 040,Digital Services Firm,LOC-000117,ORGANIZED_CRIME,Inactive,true
