relationship_id,source_entity_type,source_entity_id,relationship_type,target_entity_type,target_entity_id,start_time,end_time,confidence,source,case_id,evidence_id,synthetic_flag
REL-000001,PERSON,PERSON-001667,OWNS,PHONE,PHONE-000001,2023-01-07T03:48:00,,1.0,synthetic,,,true
REL-000002,PERSON,PERSON-001667,OWNS,VEHICLE,VEH-000001,2023-01-07T03:48:00,,1.0,synthetic,,,true
REL-000003,PERSON,PERSON-001667,OWNS,ACCOUNT,ACCT-000001,2023-01-07T03:48:00,,1.0,synthetic,,,true
REL-000004,PERSON,PERSON-001670,OWNS,PHONE,PHONE-000002,2023-01-07T03:48:00,,1.0,synthetic,,,true
REL-000005,PERSON,PERSON-001670,OWNS,VEHICLE,VEH-000002,2023-01-07T03:48:00,,1.0,synthetic,,,true
REL-000006,PERSON,PERSON-001670,OWNS,ACCOUNT,ACCT-000002,2023-01-07T03:48:00,,1.0,synthetic,,,true
REL-000007,PERSON,PERSON-001589,OWNS,PHONE,PHONE-000003,2023-01-07T03:48:00,,1.0,synthetic,,,true
REL-000008,PERSON,PERSON-001589,OWNS,VEHICLE,VEH-000003,2023-01-07T03:48:00,,1.0,synthetic,,,true
REL-000009,PERSON,PERSON-001589,OWNS,ACCOUNT,ACCT-000003,2023-01-07T03:48:00,,1.0,synthetic,,,true
REL-000010,PERSON,PERSON-000193,OWNS,PHONE,PHONE-000004,2023-01-07T03:48:00,,1.0,synthetic,,,true
REL-000011,PERSON,PERSON-000193,OWNS,PHONE,PHONE-000005,2023-01-07T03:48:00,,1.0,synthetic,,,true
REL-000012,PERSON,PERSON-000193,OWNS,ACCOUNT,ACCT-000004,2023-01-07T03:48:00,,1.0,synthetic,,,true
REL-000013,PERSON,PERSON-001589,SUSPECT_IN,CASE,CASE-000001,2023-01-07T03:48:00,,1.0,synthetic,CASE-000001,,true
REL-000014,PERSON,PERSON-000193,SUSPECT_IN,CASE,CASE-000001,2023-01-07T03:48:00,,1.0,synthetic,CASE-000001,,true
REL-000015,PERSON,PERSON-001667,OBSERVED_IN,CASE,CASE-000001,2023-01-07T03:48:00,,0.67,synthetic,CASE-000001,,true
REL-000016,PERSON,PERSON-001670,OBSERVED_IN,CASE,CASE-000001,2023-01-07T03:48:00,,0.83,synthetic,CASE-000001,,true
REL-000017,ORGANIZATION,ORG-000001,ASSOCIATED_WITH,CASE,CASE-000001,2023-01-07T03:48:00,,0.82,synthetic,CASE-000001,,true
REL-000018,PERSON,PERSON-000193,MEMBER_OF,ORGANIZATION,ORG-000001,2023-01-07T03:48:00,,0.73,synthetic,CASE-000001,,true
REL-000019,PERSON,PERSON-001670,WORKS_WITH,ORGANIZATION,ORG-000001,2023-01-07T03:48:00,,0.89,synthetic,CASE-000001,,true
REL-000020,PERSON,PERSON-000245,OWNS,PHONE,PHONE-000006,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000021,PERSON,PERSON-000245,OWNS,VEHICLE,VEH-000004,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000022,PERSON,PERSON-000245,OWNS,ACCOUNT,ACCT-000005,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000023,PERSON,PERSON-001941,OWNS,PHONE,PHONE-000007,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000024,PERSON,PERSON-001941,OWNS,PHONE,PHONE-000008,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000025,PERSON,PERSON-001941,OWNS,VEHICLE,VEH-000005,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000026,PERSON,PERSON-001941,OWNS,ACCOUNT,ACCT-000006,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000027,PERSON,PERSON-002397,OWNS,PHONE,PHONE-000009,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000028,PERSON,PERSON-002397,OWNS,VEHICLE,VEH-000006,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000029,PERSON,PERSON-002397,OWNS,ACCOUNT,ACCT-000007,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000030,PERSON,PERSON-001578,OWNS,PHONE,PHONE-000010,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000031,PERSON,PERSON-001578,OWNS,VEHICLE,VEH-000007,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000032,PERSON,PERSON-001578,OWNS,ACCOUNT,ACCT-000008,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000033,PERSON,PERSON-001578,OWNS,ACCOUNT,ACCT-000009,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000034,PERSON,PERSON-002304,OWNS,PHONE,PHONE-000011,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000035,PERSON,PERSON-002304,OWNS,VEHICLE,VEH-000008,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000036,PERSON,PERSON-002304,OWNS,ACCOUNT,ACCT-000010,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000037,PERSON,PERSON-001847,OWNS,PHONE,PHONE-000012,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000038,PERSON,PERSON-001847,OWNS,ACCOUNT,ACCT-000011,2023-08-19T11:17:00,,1.0,synthetic,,,true
REL-000039,PERSON,PERSON-002397,SUSPECT_IN,CASE,CASE-000002,2023-08-19T11:17:00,,1.0,synthetic,CASE-000002,,true
REL-000040,PERSON,PERSON-002304,SUSPECT_IN,CASE,CASE-000002,2023-08-19T11:17:00,,1.0,synthetic,CASE-000002,,true
REL-000041,PERSON,PERSON-001941,SUSPECT_IN,CASE,CASE-000002,2023-08-19T11:17:00,,1.0,synthetic,CASE-000002,,true
REL-000042,PERSON,PERSON-001578,OBSERVED_IN,CASE,CASE-000002,2023-08-19T11:17:00,,0.83,synthetic,CASE-000002,,true
REL-000043,PERSON,PERSON-000245,OBSERVED_IN,CASE,CASE-000002,2023-08-19T11:17:00,,0.68,synthetic,CASE-000002,,true
REL-000044,PERSON,PERSON-001847,OBSERVED_IN,CASE,CASE-000002,2023-08-19T11:17:00,,0.69,synthetic,CASE-000002,,true
REL-000045,ORGANIZATION,ORG-000002,ASSOCIATED_WITH,CASE,CASE-000002,2023-08-19T11:17:00,,0.82,synthetic,CASE-000002,,true
REL-000046,PERSON,PERSON-001847,CONTROLS,ORGANIZATION,ORG-000002,2023-08-19T11:17:00,,0.9,synthetic,CASE-000002,,true
REL-000047,PERSON,PERSON-000862,OWNS,PHONE,PHONE-000013,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000048,PERSON,PERSON-000862,OWNS,PHONE,PHONE-000014,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000049,PERSON,PERSON-000862,OWNS,VEHICLE,VEH-000009,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000050,PERSON,PERSON-000862,OWNS,ACCOUNT,ACCT-000012,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000051,PERSON,PERSON-001431,OWNS,PHONE,PHONE-000015,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000052,PERSON,PERSON-001431,OWNS,VEHICLE,VEH-000010,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000053,PERSON,PERSON-001431,OWNS,ACCOUNT,ACCT-000013,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000054,PERSON,PERSON-001701,OWNS,PHONE,PHONE-000016,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000055,PERSON,PERSON-001701,OWNS,ACCOUNT,ACCT-000014,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000056,PERSON,PERSON-002106,OWNS,PHONE,PHONE-000017,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000057,PERSON,PERSON-002106,OWNS,VEHICLE,VEH-000011,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000058,PERSON,PERSON-002106,OWNS,ACCOUNT,ACCT-000015,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000059,PERSON,PERSON-002106,OWNS,ACCOUNT,ACCT-000016,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000060,PERSON,PERSON-001803,OWNS,PHONE,PHONE-000018,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000061,PERSON,PERSON-001803,OWNS,VEHICLE,VEH-000012,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000062,PERSON,PERSON-001803,OWNS,ACCOUNT,ACCT-000017,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000063,PERSON,PERSON-000484,OWNS,PHONE,PHONE-000019,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000064,PERSON,PERSON-000484,OWNS,PHONE,PHONE-000020,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000065,PERSON,PERSON-000484,OWNS,VEHICLE,VEH-000013,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000066,PERSON,PERSON-000484,OWNS,ACCOUNT,ACCT-000018,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000067,PERSON,PERSON-000599,OWNS,PHONE,PHONE-000021,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000068,PERSON,PERSON-000599,OWNS,VEHICLE,VEH-000014,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000069,PERSON,PERSON-000599,OWNS,ACCOUNT,ACCT-000019,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000070,PERSON,PERSON-000838,OWNS,PHONE,PHONE-000022,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000071,PERSON,PERSON-000838,OWNS,PHONE,PHONE-000023,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000072,PERSON,PERSON-000838,OWNS,VEHICLE,VEH-000015,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000073,PERSON,PERSON-000838,OWNS,ACCOUNT,ACCT-000020,2023-11-03T11:21:00,,1.0,synthetic,,,true
REL-000074,PERSON,PERSON-000484,SUSPECT_IN,CASE,CASE-000003,2023-11-03T11:21:00,,1.0,synthetic,CASE-000003,,true
REL-000075,PERSON,PERSON-001803,SUSPECT_IN,CASE,CASE-000003,2023-11-03T11:21:00,,1.0,synthetic,CASE-000003,,true
REL-000076,PERSON,PERSON-001431,SUSPECT_IN,CASE,CASE-000003,2023-11-03T11:21:00,,1.0,synthetic,CASE-000003,,true
REL-000077,PERSON,PERSON-000862,SUSPECT_IN,CASE,CASE-000003,2023-11-03T11:21:00,,1.0,synthetic,CASE-000003,,true
REL-000078,PERSON,PERSON-000599,SUSPECT_IN,CASE,CASE-000003,2023-11-03T11:21:00,,1.0,synthetic,CASE-000003,,true
REL-000079,PERSON,PERSON-002106,OBSERVED_IN,CASE,CASE-000003,2023-11-03T11:21:00,,0.69,synthetic,CASE-000003,,true
REL-000080,PERSON,PERSON-000838,OBSERVED_IN,CASE,CASE-000003,2023-11-03T11:21:00,,0.83,synthetic,CASE-000003,,true
REL-000081,PERSON,PERSON-001701,OBSERVED_IN,CASE,CASE-000003,2023-11-03T11:21:00,,0.67,synthetic,CASE-000003,,true
REL-000082,ORGANIZATION,ORG-000003,ASSOCIATED_WITH,CASE,CASE-000003,2023-11-03T11:21:00,,0.82,synthetic,CASE-000003,,true
REL-000083,PERSON,PERSON-001431,WORKS_WITH,ORGANIZATION,ORG-000003,2023-11-03T11:21:00,,0.92,synthetic,CASE-000003,,true
REL-000084,PERSON,PERSON-001701,MEMBER_OF,ORGANIZATION,ORG-000003,2023-11-03T11:21:00,,0.91,synthetic,CASE-000003,,true
REL-000085,PERSON,PERSON-002106,WORKS_WITH,ORGANIZATION,ORG-000003,2023-11-03T11:21:00,,0.83,synthetic,CASE-000003,,true
REL-000086,PERSON,PERSON-000341,OWNS,PHONE,PHONE-000024,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000087,PERSON,PERSON-000341,OWNS,VEHICLE,VEH-000016,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000088,PERSON,PERSON-000341,OWNS,ACCOUNT,ACCT-000021,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000089,PERSON,PERSON-000342,OWNS,PHONE,PHONE-000025,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000090,PERSON,PERSON-000342,OWNS,VEHICLE,VEH-000017,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000091,PERSON,PERSON-000342,OWNS,ACCOUNT,ACCT-000022,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000092,PERSON,PERSON-001262,OWNS,PHONE,PHONE-000026,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000093,PERSON,PERSON-001262,OWNS,VEHICLE,VEH-000018,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000094,PERSON,PERSON-001262,OWNS,ACCOUNT,ACCT-000023,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000095,PERSON,PERSON-001262,OWNS,ACCOUNT,ACCT-000024,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000096,PERSON,PERSON-001648,OWNS,PHONE,PHONE-000027,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000097,PERSON,PERSON-001648,OWNS,VEHICLE,VEH-000019,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000098,PERSON,PERSON-001648,OWNS,ACCOUNT,ACCT-000025,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000099,PERSON,PERSON-002900,OWNS,PHONE,PHONE-000028,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000100,PERSON,PERSON-002900,OWNS,PHONE,PHONE-000029,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000101,PERSON,PERSON-002900,OWNS,VEHICLE,VEH-000020,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000102,PERSON,PERSON-002900,OWNS,ACCOUNT,ACCT-000026,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000103,PERSON,PERSON-002246,OWNS,PHONE,PHONE-000030,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000104,PERSON,PERSON-002246,OWNS,VEHICLE,VEH-000021,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000105,PERSON,PERSON-002246,OWNS,ACCOUNT,ACCT-000027,2023-02-12T22:25:00,,1.0,synthetic,,,true
REL-000106,PERSON,PERSON-001648,SUSPECT_IN,CASE,CASE-000004,2023-02-12T22:25:00,,1.0,synthetic,CASE-000004,,true
REL-000107,PERSON,PERSON-000341,SUSPECT_IN,CASE,CASE-000004,2023-02-12T22:25:00,,1.0,synthetic,CASE-000004,,true
REL-000108,PERSON,PERSON-002900,SUSPECT_IN,CASE,CASE-000004,2023-02-12T22:25:00,,1.0,synthetic,CASE-000004,,true
REL-000109,PERSON,PERSON-000342,SUSPECT_IN,CASE,CASE-000004,2023-02-12T22:25:00,,1.0,synthetic,CASE-000004,,true
REL-000110,PERSON,PERSON-002246,OBSERVED_IN,CASE,CASE-000004,2023-02-12T22:25:00,,0.79,synthetic,CASE-000004,,true
REL-000111,PERSON,PERSON-001262,OBSERVED_IN,CASE,CASE-000004,2023-02-12T22:25:00,,0.69,synthetic,CASE-000004,,true
REL-000112,ORGANIZATION,ORG-000004,ASSOCIATED_WITH,CASE,CASE-000004,2023-02-12T22:25:00,,0.82,synthetic,CASE-000004,,true
REL-000113,PERSON,PERSON-001648,MEMBER_OF,ORGANIZATION,ORG-000004,2023-02-12T22:25:00,,0.79,synthetic,CASE-000004,,true
