transaction_id,source_account_id,destination_account_id,timestamp,amount,transaction_type,location_id,reference,network_id,synthetic_flag
TXN-000001,ACCT-007978,ACCT-005575,2023-09-12T19:29:00,36419.63,CASH_WITHDRAWAL,LOC-002730,SYNREF-00000001,NET-000015,true
TXN-000002,ACCT-006560,ACCT-001025,2023-09-03T01:12:00,11257.41,CASH_DEPOSIT,LOC-001527,SYNREF-00000002,NET-000028,true
TXN-000003,ACCT-008151,ACCT-000315,2022-09-17T05:04:00,17259.02,CASH_DEPOSIT,LOC-000614,SYNREF-00000003,NET-000010,true
TXN-000004,ACCT-008188,ACCT-009335,2023-05-02T14:13:00,7361.17,CASH_WITHDRAWAL,LOC-001002,SYNREF-00000004,NET-000006,true
TXN-000005,ACCT-002653,ACCT-003185,2023-03-16T16:07:00,6632.53,CASH_DEPOSIT,LOC-000932,SYNREF-00000005,NET-000017,true
TXN-000006,ACCT-001353,ACCT-008465,2023-07-18T03:43:00,15252.98,CASH_WITHDRAWAL,LOC-001113,SYNREF-00000006,NET-000022,true
TXN-000007,ACCT-005097,ACCT-004294,2023-06-09T08:41:00,1002216.43,TRANSFER,LOC-000675,SYNREF-00000007,NET-000022,true
TXN-000008,ACCT-001081,ACCT-004199,2023-08-12T13:07:00,5319.33,REFUND,LOC-000352,SYNREF-00000008,NET-000009,true
TXN-000009,ACCT-006326,ACCT-006597,2023-05-06T15:19:00,91829.32,TRANSFER,LOC-000882,SYNREF-00000009,,true
TXN-000010,ACCT-006773,ACCT-001646,2023-08-30T20:29:00,1433.49,REFUND,LOC-000044,SYNREF-00000010,NET-000008,true
TXN-000011,ACCT-006390,ACCT-009049,2023-10-30T06:50:00,12291.6,TRANSFER,LOC-001721,SYNREF-00000011,NET-000002,true
TXN-000012,ACCT-003765,ACCT-004097,2023-03-10T10:20:00,26284.22,MERCHANT_PAYMENT,LOC-001645,SYNREF-00000012,NET-000011,true
TXN-000013,ACCT-002237,ACCT-001770,2023-08-07T15:51:00,16457.83,MERCHANT_PAYMENT,LOC-002353,SYNREF-00000013,NET-000006,true
TXN-000014,ACCT-002288,ACCT-003223,2023-07-05T09:13:00,58744.49,MERCHANT_PAYMENT,LOC-001258,SYNREF-00000014,NET-000004,true
TXN-000015,ACCT-001195,ACCT-006467,2023-02-03T06:20:00,11873.76,REFUND,LOC-002224,SYNREF-00000015,,true
TXN-000016,ACCT-000093,ACCT-002130,2022-12-10T00:36:00,10912.57,REFUND,LOC-000136,SYNREF-00000016,NET-000021,true
TXN-000017,ACCT-000894,ACCT-000831,2023-03-25T18:43:00,11985.83,MERCHANT_PAYMENT,LOC-001950,SYNREF-00000017,NET-000011,true
TXN-000018,ACCT-007848,ACCT-006871,2023-04-05T12:27:00,28095.42,MERCHANT_PAYMENT,LOC-002199,SYNREF-00000018,NET-000014,true
TXN-000019,ACCT-001889,ACCT-007655,2023-06-16T06:27:00,662974.96,CASH_DEPOSIT,LOC-001887,SYNREF-00000019,NET-000024,true
TXN-000020,ACCT-000924,ACCT-007745,2022-10-15T00:07:00,6741.42,CASH_DEPOSIT,LOC-000726,SYNREF-00000020,NET-000001,true
TXN-000021,ACCT-007558,ACCT-001855,2023-07-07T12:30:00,14395.59,TRANSFER,LOC-001128,SYNREF-00000021,NET-000018,true
TXN-000022,ACCT-006423,ACCT-008257,2023-02-07T07:51:00,402311.27,REFUND,LOC-002219,SYNREF-00000022,NET-000009,true
TXN-000023,ACCT-008517,ACCT-007802,2023-12-13T13:41:00,4165.07,CASH_WITHDRAWAL,LOC-002226,SYNREF-00000023,,true
TXN-000024,ACCT-005564,ACCT-000162,2023-03-27T04:08:00,10092.4,CASH_DEPOSIT,LOC-001591,SYNREF-00000024,NET-000013,true
TXN-000025,ACCT-008916,ACCT-011699,2023-02-07T22:20:00,10146.7,TRANSFER,LOC-001904,SYNREF-00000025,,true
TXN-000026,ACCT-009011,ACCT-003580,2023-05-13T02:24:00,57181.68,CASH_DEPOSIT,LOC-002767,SYNREF-00000026,NET-000019,true
TXN-000027,ACCT-005837,ACCT-000902,2023-05-15T05:51:00,10493.96,MERCHANT_PAYMENT,LOC-000905,SYNREF-00000027,NET-000016,true
TXN-000028,ACCT-011049,ACCT-001306,2023-10-29T15:51:00,13913.74,CASH_WITHDRAWAL,LOC-000703,SYNREF-00000028,,true
TXN-000029,ACCT-010900,ACCT-011063,2023-06-10T21:07:00,27862.69,TRANSFER,LOC-000485,SYNREF-00000029,,true
TXN-000030,ACCT-006312,ACCT-002844,2023-04-11T15:02:00,23390.41,REFUND,LOC-001445,SYNREF-00000030,NET-000009,true
TXN-000031,ACCT-009282,ACCT-005911,2023-03-11T04:47:00,15553.09,MERCHANT_PAYMENT,LOC-001725,SYNREF-00000031,NET-000005,true
TXN-000032,ACCT-005951,ACCT-007643,2023-08-16T18:39:00,11952.85,TRANSFER,LOC-001134,SYNREF-00000032,NET-000010,true
TXN-000033,ACCT-004091,ACCT-005038,2023-07-28T03:26:00,35261.38,MERCHANT_PAYMENT,LOC-001335,SYNREF-00000033,NET-000021,true
TXN-000034,ACCT-000662,ACCT-001621,2023-11-05T06:25:00,36197.63,REFUND,LOC-002405,SYNREF-00000034,,true
TXN-000035,ACCT-001722,ACCT-002346,2023-06-11T05:45:00,20801.96,CASH_WITHDRAWAL,LOC-001509,SYNREF-00000035,NET-000023,true
TXN-000036,ACCT-000441,ACCT-005956,2023-09-12T22:16:00,28929.34,REFUND,LOC-001926,SYNREF-00000036,NET-000027,true
TXN-000037,ACCT-001034,ACCT-003094,2023-10-03T10:58:00,8405.56,CASH_WITHDRAWAL,LOC-001250,SYNREF-00000037,NET-000008,true
TXN-000038,ACCT-001937,ACCT-005461,2023-02-18T19:59:00,2135.92,CASH_WITHDRAWAL,LOC-002292,SYNREF-00000038,NET-000025,true
TXN-000039,ACCT-003789,ACCT-001910,2023-04-08T10:33:00,3669.33,BILL_PAYMENT,LOC-000622,SYNREF-00000039,NET-000005,true
TXN-000040,ACCT-006680,ACCT-004302,2023-07-24T12:27:00,12914.65,MERCHANT_PAYMENT,LOC-000885,SYNREF-00000040,NET-000026,true
TXN-000041,ACCT-000933,ACCT-000748,2023-01-22T06:07:00,12486.3,BILL_PAYMENT,LOC-002021,SYNREF-00000041,NET-000010,true
TXN-000042,ACCT-001392,ACCT-004082,2023-08-11T23:16:00,1644.21,TRANSFER,LOC-001379,SYNREF-00000042,NET-000005,true
TXN-000043,ACCT-003110,ACCT-006706,2022-12-20T14:19:00,8000.88,BILL_PAYMENT,LOC-000697,SYNREF-00000043,NET-000005,true
TXN-000044,ACCT-001272,ACCT-008495,2023-11-05T15:08:00,22647.74,BILL_PAYMENT,LOC-000612,SYNREF-00000044,NET-000021,true
TXN-000045,ACCT-005258,ACCT-004186,2023-05-04T14:16:00,21995.21,CASH_WITHDRAWAL,LOC-001684,SYNREF-00000045,NET-000013,true
TXN-000046,ACCT-001651,ACCT-009990,2023-04-19T05:09:00,33156.18,CASH_WITHDRAWAL,LOC-002542,SYNREF-00000046,,true
TXN-000047,ACCT-005569,ACCT-000163,2022-11-28T09:51:00,7722.0,REFUND,LOC-001158,SYNREF-00000047,NET-000013,true
TXN-000048,ACCT-006049,ACCT-002562,2023-12-19T18:29:00,19937.14,CASH_WITHDRAWAL,LOC-001869,SYNREF-00000048,NET-000019,true
TXN-000049,ACCT-008159,ACCT-002306,2022-08-29T00:22:00,27765.58,CASH_WITHDRAWAL,LOC-000003,SYNREF-00000049,NET-000009,true
TXN-000050,ACCT-003315,ACCT-003020,2024-02-10T06:15:00,11371.2,REFUND,LOC-002145,SYNREF-00000050,NET-000021,true
TXN-000051,ACCT-002286,ACCT-009036,2023-05-06T16:19:00,9419.55,TRANSFER,LOC-000998,SYNREF-00000051,NET-000004,true
TXN-000052,ACCT-003609,ACCT-001375,2023-06-22T05:11:00,241788.06,BILL_PAYMENT,LOC-001574,SYNREF-00000052,NET-000006,true
TXN-000053,ACCT-008382,ACCT-010407,2022-08-15T09:24:00,62934.35,BILL_PAYMENT,LOC-000046,SYNREF-00000053,,true
TXN-000054,ACCT-008416,ACCT-007790,2023-04-24T07:58:00,36911.46,CASH_WITHDRAWAL,LOC-001756,SYNREF-00000054,,true
TXN-000055,ACCT-001558,ACCT-007863,2023-06-21T09:45:00,13837.15,BILL_PAYMENT,LOC-000168,SYNREF-00000055,NET-000006,true
TXN-000056,ACCT-004238,ACCT-007961,2023-10-26T00:03:00,1293678.61,MERCHANT_PAYMENT,LOC-001066,SYNREF-00000056,NET-000018,true
TXN-000057,ACCT-005574,ACCT-006504,2023-01-12T05:15:00,12184.23,MERCHANT_PAYMENT,LOC-000396,SYNREF-00000057,NET-000011,true
TXN-000058,ACCT-000725,ACCT-007083,2022-12-17T19:43:00,5388.8,REFUND,LOC-000564,SYNREF-00000058,NET-000026,true
TXN-000059,ACCT-009755,ACCT-001150,2023-06-20T11:41:00,113525.88,REFUND,LOC-001319,SYNREF-00000059,,true
TXN-000060,ACCT-009136,ACCT-008912,2023-09-15T19:51:00,5896.15,TRANSFER,LOC-002721,SYNREF-00000060,NET-000004,true
TXN-000061,ACCT-006411,ACCT-006356,2022-12-04T21:27:00,10099.11,MERCHANT_PAYMENT,LOC-000247,SYNREF-00000061,,true
TXN-000062,ACCT-002993,ACCT-000973,2023-07-17T20:10:00,10554.16,REFUND,LOC-001372,SYNREF-00000062,NET-000011,true
TXN-000063,ACCT-005931,ACCT-003725,2023-10-25T19:45:00,6408.39,REFUND,LOC-001696,SYNREF-00000063,,true
TXN-000064,ACCT-007736,ACCT-005626,2022-10-16T09:18:00,14993.35,TRANSFER,LOC-001680,SYNREF-00000064,NET-000009,true
TXN-000065,ACCT-008871,ACCT-008863,2022-12-28T18:02:00,8775.31,CASH_WITHDRAWAL,LOC-002079,SYNREF-00000065,NET-000018,true
TXN-000066,ACCT-005632,ACCT-002122,2022-09-12T21:17:00,45056.9,REFUND,LOC-001271,SYNREF-00000066,,true
TXN-000067,ACCT-008642,ACCT-002709,2023-11-29T17:05:00,28456.3,REFUND,LOC-002212,SYNREF-00000067,,true
TXN-000068,ACCT-001812,ACCT-006076,2022-08-24T04:33:00,6648.17,REFUND,LOC-002210,SYNREF-00000068,NET-000012,true
TXN-000069,ACCT-002305,ACCT-011259,2023-10-03T20:49:00,5846.92,TRANSFER,LOC-000185,SYNREF-00000069,,true
TXN-000070,ACCT-009219,ACCT-004260,2023-07-06T09:34:00,14467.23,MERCHANT_PAYMENT,LOC-002469,SYNREF-00000070,NET-000019,true
TXN-000071,ACCT-008389,ACCT-006729,2022-12-25T06:43:00,4448.3,MERCHANT_PAYMENT,LOC-000586,SYNREF-00000071,NET-000020,true
TXN-000072,ACCT-001596,ACCT-008937,2023-01-09T21:00:00,15086.89,MERCHANT_PAYMENT,LOC-001033,SYNREF-00000072,NET-000023,true
TXN-000073,ACCT-005083,ACCT-000748,2024-01-07T09:26:00,9658.67,BILL_PAYMENT,LOC-002588,SYNREF-00000073,NET-000014,true
TXN-000074,ACCT-011285,ACCT-003637,2023-07-02T15:20:00,3493.66,CASH_DEPOSIT,LOC-001303,SYNREF-00000074,NET-000021,true
TXN-000075,ACCT-000993,ACCT-002976,2023-01-07T09:51:00,7576.89,CASH_DEPOSIT,LOC-001611,SYNREF-00000075,NET-000019,true
TXN-000076,ACCT-003468,ACCT-003401,2023-08-23T00:22:00,6149.01,TRANSFER,LOC-000907,SYNREF-00000076,NET-000010,true
TXN-000077,ACCT-008016,ACCT-008007,2022-10-12T23:13:00,22518.23,CASH_WITHDRAWAL,LOC-002998,SYNREF-00000077,NET-000010,true
TXN-000078,ACCT-005021,ACCT-008935,2023-05-26T02:00:00,10208.46,CASH_DEPOSIT,LOC-000174,SYNREF-00000078,NET-000023,true
TXN-000079,ACCT-007228,ACCT-006322,2023-01-14T01:35:00,1240813.93,BILL_PAYMENT,LOC-001233,SYNREF-00000079,NET-000025,true
TXN-000080,ACCT-007575,ACCT-006810,2024-02-19T03:08:00,9758.73,CASH_DEPOSIT,LOC-001654,SYNREF-00000080,NET-000008,true
TXN-000081,ACCT-000096,ACCT-003536,2023-03-14T13:44:00,3466.53,BILL_PAYMENT,LOC-000022,SYNREF-00000081,NET-000021,true
TXN-000082,ACCT-009115,ACCT-000988,2023-09-03T20:49:00,16968.35,CASH_WITHDRAWAL,LOC-000364,SYNREF-00000082,NET-000015,true
TXN-000083,ACCT-007788,ACCT-001315,2023-09-12T06:42:00,2025.31,TRANSFER,LOC-000025,SYNREF-00000083,NET-000020,true
TXN-000084,ACCT-005579,ACCT-004710,2023-08-29T11:38:00,19174.56,TRANSFER,LOC-002440,SYNREF-00000084,NET-000008,true
TXN-000085,ACCT-000739,ACCT-001985,2023-04-16T23:32:00,16754.64,TRANSFER,LOC-000223,SYNREF-00000085,NET-000022,true
TXN-000086,ACCT-008714,ACCT-008422,2023-11-09T06:04:00,6451.65,MERCHANT_PAYMENT,LOC-001143,SYNREF-00000086,NET-000026,true
TXN-000087,ACCT-011549,ACCT-011645,2023-10-21T07:17:00,26908.95,TRANSFER,LOC-001215,SYNREF-00000087,,true
TXN-000088,ACCT-008579,ACCT-004121,2022-10-04T03:47:00,133296.81,REFUND,LOC-000763,SYNREF-00000088,NET-000002,true
TXN-000089,ACCT-005782,ACCT-006063,2023-04-27T06:58:00,102350.14,REFUND,LOC-001120,SYNREF-00000089,NET-000028,true
TXN-000090,ACCT-006627,ACCT-004762,2023-06-29T00:04:00,3070.78,CASH_DEPOSIT,LOC-000998,SYNREF-00000090,NET-000016,true
TXN-000091,ACCT-005589,ACCT-002025,2023-06-28T09:23:00,2030.07,REFUND,LOC-001116,SYNREF-00000091,NET-000013,true
TXN-000092,ACCT-005048,ACCT-006746,2023-03-24T07:01:00,2792.47,TRANSFER,LOC-002048,SYNREF-00000092,NET-000015,true
TXN-000093,ACCT-006560,ACCT-002146,2023-08-20T10:15:00,20457.11,CASH_DEPOSIT,LOC-002021,SYNREF-00000093,NET-000018,true
TXN-000094,ACCT-008807,ACCT-005179,2024-03-27T22:48:00,16080.79,TRANSFER,LOC-001352,SYNREF-00000094,,true
TXN-000095,ACCT-006786,ACCT-011544,2023-12-01T02:39:00,8929.6,TRANSFER,LOC-001841,SYNREF-00000095,,true
TXN-000096,ACCT-003148,ACCT-005181,2023-06-10T17:51:00,22373.03,CASH_DEPOSIT,LOC-000749,SYNREF-00000096,NET-000027,true
TXN-000097,ACCT-004375,ACCT-002564,2022-10-10T12:23:00,24642.33,REFUND,LOC-001851,SYNREF-00000097,NET-000021,true
TXN-000098,ACCT-007411,ACCT-003646,2023-12-04T07:16:00,5763.7,CASH_WITHDRAWAL,LOC-002338,SYNREF-00000098,NET-000004,true
TXN-000099,ACCT-006643,ACCT-006633,2023-07-14T06:04:00,119681.02,BILL_PAYMENT,LOC-002840,SYNREF-00000099,NET-000014,true
TXN-000100,ACCT-003627,ACCT-004688,2022-12-25T00:02:00,10143.89,REFUND,LOC-002630,SYNREF-00000100,NET-000008,true
TXN-000101,ACCT-002189,ACCT-005278,2022-12-30T10:23:00,295350.52,BILL_PAYMENT,LOC-000922,SYNREF-00000101,,true
TXN-000102,ACCT-004193,ACCT-008559,2023-07-01T20:56:00,12215.32,REFUND,LOC-000135,SYNREF-00000102,,true
TXN-000103,ACCT-008290,ACCT-005927,2022-11-07T17:58:00,2645.92,CASH_WITHDRAWAL,LOC-002121,SYNREF-00000103,NET-000013,true
TXN-000104,ACCT-003553,ACCT-001616,2022-10-05T03:16:00,2945.37,CASH_WITHDRAWAL,LOC-002702,SYNREF-00000104,NET-000002,true
TXN-000105,ACCT-007930,ACCT-000621,2023-02-17T02:23:00,2900.83,MERCHANT_PAYMENT,LOC-001701,SYNREF-00000105,NET-000020,true
TXN-000106,ACCT-004170,ACCT-009187,2023-07-02T08:10:00,2368.59,TRANSFER,LOC-000158,SYNREF-00000106,NET-000027,true
TXN-000107,ACCT-004686,ACCT-006752,2023-07-30T13:58:00,2632.79,BILL_PAYMENT,LOC-002142,SYNREF-00000107,NET-000008,true
TXN-000108,ACCT-002842,ACCT-009347,2023-10-19T22:53:00,64459.34,BILL_PAYMENT,LOC-001265,SYNREF-00000108,NET-000009,true
TXN-000109,ACCT-005687,ACCT-002373,2023-02-16T01:00:00,10712.0,CASH_DEPOSIT,LOC-002394,SYNREF-00000109,NET-000002,true
TXN-000110,ACCT-005371,ACCT-001026,2023-05-28T05:54:00,17645.48,REFUND,LOC-002067,SYNREF-00000110,NET-000028,true
TXN-000111,ACCT-001502,ACCT-007423,2023-02-16T15:20:00,17600.13,CASH_WITHDRAWAL,LOC-000630,SYNREF-00000111,,true
TXN-000112,ACCT-004134,ACCT-007857,2023-08-30T14:00:00,25885.13,CASH_WITHDRAWAL,LOC-001294,SYNREF-00000112,NET-000020,true
TXN-000113,ACCT-007551,ACCT-004191,2023-03-02T00:09:00,2860.54,CASH_DEPOSIT,LOC-002172,SYNREF-00000113,NET-000008,true
TXN-000114,ACCT-008620,ACCT-001623,2023-11-03T01:06:00,12960.66,REFUND,LOC-001298,SYNREF-00000114,NET-000023,true
TXN-000115,ACCT-009088,ACCT-002561,2023-11-28T17:57:00,19993.67,CASH_DEPOSIT,LOC-002094,SYNREF-00000115,NET-000019,true
TXN-000116,ACCT-010759,ACCT-007572,2022-10-22T02:58:00,6290.68,MERCHANT_PAYMENT,LOC-001976,SYNREF-00000116,,true
TXN-000117,ACCT-000408,ACCT-005620,2023-02-19T23:54:00,4545.98,CASH_WITHDRAWAL,LOC-002991,SYNREF-00000117,,true
TXN-000118,ACCT-007507,ACCT-009187,2023-01-17T23:00:00,2769.53,CASH_WITHDRAWAL,LOC-000820,SYNREF-00000118,NET-000027,true
TXN-000119,ACCT-003649,ACCT-009112,2023-02-08T06:07:00,4934.66,BILL_PAYMENT,LOC-000776,SYNREF-00000119,NET-000021,true
TXN-000120,ACCT-006338,ACCT-001005,2023-04-07T01:56:00,11695.99,MERCHANT_PAYMENT,LOC-000050,SYNREF-00000120,,true
TXN-000121,ACCT-006331,ACCT-003982,2022-12-29T13:48:00,24886.96,MERCHANT_PAYMENT,LOC-002319,SYNREF-00000121,,true
