vehicle_id,vehicle_type,registration_alias,owner_person_id,color,make,model,status,synthetic_flag
VEH-000001,Car,SYN-TE-00001,PERSON-001667,Silver,Mahindra,XUV,Active,true
VEH-000002,Motorcycle,SYN-KE-00002,PERSON-001670,Black,Hyundai,Venue,Active,true
VEH-000003,Auto,SYN-MA-00003,PERSON-001589,Red,Mahindra,XUV,Transferred,true
VEH-000004,Car,SYN-TE-00004,PERSON-000245,Grey,Hyundai,i20,Transferred,true
VEH-000005,SUV,SYN-KE-00005,PERSON-001941,Black,Tata,Altroz,Active,true
VEH-000006,Van,SYN-TA-00006,PERSON-002397,Red,Toyota,Innova,Active,true
VEH-000007,Truck,SYN-UT-00007,PERSON-001578,White,Maruti,Baleno,Transferred,true
VEH-000008,SUV,SYN-TE-00008,PERSON-002304,White,Mahindra,Scorpio,Transferred,true
VEH-000009,Van,SYN-GU-00009,PERSON-000862,White,Hyundai,Creta,Active,true
VEH-000010,Car,SYN-RA-00010,PERSON-001431,Black,Hyundai,Venue,Transferred,true
VEH-000011,Van,SYN-UT-00011,PERSON-002106,Grey,Hyundai,i20,Transferred,true
VEH-000012,Van,SYN-RA-00012,PERSON-001803,Black,Mahindra,Scorpio,Active,true
VEH-000013,Truck,SYN-KA-00013,PERSON-000484,Blue,Mahindra,XUV,Active,true
VEH-000014,Auto,SYN-KE-00014,PERSON-000599,Blue,Mahindra,XUV,Active,true
VEH-000015,Van,SYN-UT-00015,PERSON-000838,Red,Tata,Altroz,Transferred,true
VEH-000016,Motorcycle,SYN-TE-00016,PERSON-000341,Black,Maruti,Swift,Active,true
VEH-000017,SUV,SYN-GU-00017,PERSON-000342,Black,Mahindra,Bolero,Active,true
VEH-000018,Auto,SYN-DE-00018,PERSON-001262,Grey,Maruti,Baleno,Active,true
VEH-000019,Auto,SYN-TE-00019,PERSON-001648,Black,Hyundai,i20,Transferred,true
VEH-000020,Motorcycle,SYN-UT-00020,PERSON-002900,Black,Hyundai,i20,Active,true
VEH-000021,Truck,SYN-KE-00021,PERSON-002246,Silver,Hyundai,i20,Active,true
VEH-000022,SUV,SYN-KE-00022,PERSON-002609,Silver,Tata,Punch,Transferred,true
VEH-000023,Truck,SYN-TA-00023,PERSON-000906,Black,Hyundai,i20,Transferred,true
VEH-000024,Truck,SYN-RA-00024,PERSON-001768,White,Tata,Punch,Transferred,true
VEH-000025,Van,SYN-WE-00025,PERSON-002964,Blue,Maruti,Baleno,Transferred,true
VEH-000026,Van,SYN-KE-00026,PERSON-000492,Black,Toyota,Innova,Active,true
VEH-000027,Van,SYN-GU-00027,PERSON-001059,Silver,Hyundai,i20,Active,true
VEH-000028,Van,SYN-MA-00028,PERSON-000920,Grey,Maruti,Ertiga,Active,true
VEH-000029,Truck,SYN-TE-00029,PERSON-000144,Silver,Toyota,Urban Cruiser,Active,true
VEH-000030,SUV,SYN-RA-00030,PERSON-002999,White,Mahindra,Bolero,Active,true
VEH-000031,Van,SYN-UT-00031,PERSON-002082,Black,Maruti,Ertiga,Active,true
VEH-000032,SUV,SYN-TE-00032,PERSON-001830,Grey,Mahindra,Bolero,Active,true
VEH-000033,Car,SYN-GU-00033,PERSON-000342,Blue,Mahindra,Bolero,Transferred,true
VEH-000034,SUV,SYN-TE-00034,PERSON-000144,Silver,Tata,Altroz,Active,true
VEH-000035,Van,SYN-KE-00035,PERSON-000302,Red,Hyundai,i20,Active,true
VEH-000036,Car,SYN-WE-00036,PERSON-000001,Black,Tata,Punch,Active,true
VEH-000037,Car,SYN-TE-00037,PERSON-002122,White,Hyundai,Creta,Active,true
VEH-000038,Car,SYN-TA-00038,PERSON-000648,Blue,Mahindra,Bolero,Transferred,true
VEH-000039,Auto,SYN-UT-00039,PERSON-000647,Grey,Mahindra,Bolero,Active,true
VEH-000040,Motorcycle,SYN-UT-00040,PERSON-000259,Black,Mahindra,Scorpio,Active,true
VEH-000041,SUV,SYN-KA-00041,PERSON-000568,Silver,Tata,Altroz,Active,true
VEH-000042,Truck,SYN-MA-00042,PERSON-000106,Red,Tata,Altroz,Active,true
VEH-000043,Motorcycle,SYN-TA-00043,PERSON-001880,Blue,Toyota,Urban Cruiser,Transferred,true
VEH-000044,Motorcycle,SYN-DE-00044,PERSON-000682,Red,Hyundai,Venue,Active,true
VEH-000045,Car,SYN-MA-00045,PERSON-000042,Silver,Tata,Nexon,Active,true
VEH-000046,Auto,SYN-RA-00046,PERSON-001807,Grey,Toyota,Urban Cruiser,Transferred,true
VEH-000047,Truck,SYN-RA-00047,PERSON-000275,White,Toyota,Urban Cruiser,Active,true
VEH-000048,Auto,SYN-TE-00048,PERSON-001481,Blue,Tata,Altroz,Active,true
VEH-000049,SUV,SYN-KA-00049,PERSON-002068,Silver,Hyundai,Venue,Active,true
VEH-000050,Auto,SYN-RA-00050,PERSON-000032,Silver,Mahindra,Scorpio,Active,true
VEH-000051,Motorcycle,SYN-WE-00051,PERSON-002821,Red,Mahindra,Bolero,Transferred,true
VEH-000052,SUV,SYN-RA-00052,PERSON-001474,Black,Hyundai,Venue,Transferred,true
VEH-000053,Auto,SYN-GU-00053,PERSON-001115,Silver,Tata,Nexon,Active,true
VEH-000054,Truck,SYN-TE-00054,PERSON-000792,Blue,Toyota,Innova,Active,true
VEH-000055,Motorcycle,SYN-UT-00055,PERSON-002900,White,Toyota,Innova,Transferred,true
VEH-000056,Car,SYN-TE-00056,PERSON-002618,White,Tata,Altroz,Active,true
VEH-000057,SUV,SYN-TE-00057,PERSON-002639,Grey,Tata,Altroz,Active,true
VEH-000058,Van,SYN-DE-00058,PERSON-002839,Blue,Tata,Punch,Active,true
VEH-000059,Motorcycle,SYN-GU-00059,PERSON-000274,Silver,Tata,Nexon,Transferred,true
VEH-000060,Motorcycle,SYN-WE-00060,PERSON-001610,White,Toyota,Urban Cruiser,Active,true
VEH-000061,Truck,SYN-TA-00061,PERSON-002368,Blue,Mahindra,XUV,Active,true
VEH-000062,Auto,SYN-GU-00062,PERSON-000911,White,Maruti,Ertiga,Active,true
VEH-000063,SUV,SYN-TE-00063,PERSON-000232,Red,Mahindra,Bolero,Active,true
VEH-000064,Truck,SYN-TE-00064,PERSON-001691,Red,Maruti,Swift,Active,true
VEH-000065,Car,SYN-UT-00065,PERSON-001012,Silver,Toyota,Urban Cruiser,Active,true
VEH-000066,Auto,SYN-KE-00066,PERSON-001782,Red,Tata,Altroz,Active,true
VEH-000067,Motorcycle,SYN-TE-00067,PERSON-002256,Blue,Hyundai,Creta,Active,true
VEH-000068,SUV,SYN-GU-00068,PERSON-001206,Silver,Tata,Altroz,Active,true
VEH-000069,SUV,SYN-GU-00069,PERSON-002788,Silver,Tata,Nexon,Active,true
VEH-000070,Van,SYN-MA-00070,PERSON-000710,Grey,Toyota,Urban Cruiser,Active,true
VEH-000071,Car,SYN-TA-00071,PERSON-000072,Black,Maruti,Baleno,Active,true
VEH-000072,Truck,SYN-KE-00072,PERSON-001769,Black,Hyundai,Venue,Active,true
VEH-000073,Car,SYN-UT-00073,PERSON-002106,White,Maruti,Baleno,Active,true
VEH-000074,Motorcycle,SYN-RA-00074,PERSON-001803,Red,Mahindra,Bolero,Active,true
VEH-000075,SUV,SYN-DE-00075,PERSON-002965,Silver,Toyota,Urban Cruiser,Active,true
VEH-000076,Van,SYN-KA-00076,PERSON-001544,White,Maruti,Ertiga,Transferred,true
