alias_id,person_id,alias,alias_type,source,evidence_id,confidence
A00001,P00003,diya20,Business Alias,Social Platform,nan,0.97
A00002,P00005,karan84,Nickname,Business Listing,nan,0.76
A00003,P00007,pranav64,Business Alias,Business Listing,nan,0.63
A00004,P00009,pooja10,Business Alias,Business Listing,E00007,0.67
A00005,P00018,isha36,Nickname,Public Directory,nan,0.85
A00006,P00022,tara29,Business Alias,Business Listing,E00013,0.97
A00007,P00030,nikhil67,Nickname,Social Platform,nan,0.88
A00008,P00032,kabir88,Nickname,Social Platform,nan,0.81
A00009,P00036,yash97,Social Media Username,Public Directory,nan,0.73
A00010,P00037,dev68,Business Alias,Social Platform,E00021,0.94
A00011,P00041,siddharth25,Social Media Username,Public Directory,E00024,0.63
A00012,P00052,varun32,Nickname,Business Listing,nan,0.83
A00013,P00056,aditi54,Business Alias,Public Directory,nan,0.97
A00014,P00058,dhruv98,Business Alias,Public Directory,E00033,0.59
A00015,P00059,avni63,Social Media Username,Social Platform,nan,0.88
A00016,P00068,aarav59,Business Alias,Public Directory,E00039,0.97
A00017,P00069,mohit80,Nickname,Social Platform,E00041,0.88
A00018,P00070,raj36,Business Alias,Business Listing,nan,0.64
A00019,P00074,manav97,Nickname,Social Platform,E00044,0.74
A00020,P00080,diya66,Social Media Username,Social Platform,nan,0.9
A00021,P00083,raj97,Business Alias,Social Platform,E00053,0.72
A00022,P00085,simran83,Nickname,Public Directory,nan,0.56
A00023,P00092,kunal24,Social Media Username,Business Listing,E00062,0.72
A00024,P00093,manav37,Social Media Username,Social Platform,E00064,0.65
A00025,P00108,simran95,Nickname,Social Platform,nan,0.66
A00026,P00120,aarav81,Nickname,Social Platform,nan,0.55
A00027,P00125,akash95,Social Media Username,Social Platform,E00087,0.91
A00028,P00133,dev10,Nickname,Social Platform,nan,0.94
A00029,P00137,akash53,Social Media Username,Business Listing,nan,0.75
A00030,P00144,raj62,Nickname,Public Directory,nan,0.85
A00031,P00145,arjun34,Social Media Username,Public Directory,nan,0.69
A00032,P00157,mohit42,Social Media Username,Social Platform,E00111,0.74
A00033,P00158,ishita17,Nickname,Business Listing,nan,0.73
A00034,P00172,aanya15,Nickname,Business Listing,nan,0.87
A00035,P00177,pranav89,Business Alias,Public Directory,E00122,0.58
A00036,P00180,arnav35,Business Alias,Business Listing,E00123,0.79
A00037,P00188,mohit81,Nickname,Business Listing,nan,0.92
A00038,P00191,aniket89,Business Alias,Business Listing,E00129,0.85
