cdr_id,caller_id,receiver_id,start_time,duration_seconds,call_type,location_id,case_id,evidence_id
CDR000001,PH00003,PH00002,2024-07-29T23:53:48,90,Incoming,L0277,C0001,nan
CDR000002,PH00002,PH00001,2024-06-01T02:47:00,47,Incoming,L0496,C0001,nan
CDR000003,PH00004,PH00002,2024-08-04T13:57:28,90,Outgoing,L0496,C0001,nan
CDR000004,PH00006,PH00004,2024-07-17T10:02:24,240,Outgoing,L0504,C0001,nan
CDR000005,PH00005,PH00006,2024-07-14T01:41:01,900,Outgoing,L0504,C0001,nan
CDR000006,PH00001,PH00003,2024-05-25T21:28:36,47,Outgoing,L0277,C0001,nan
CDR000007,PH00004,PH00005,2024-07-25T09:22:29,240,Incoming,L0277,C0001,nan
CDR000008,PH00004,PH00001,2024-08-28T16:45:34,180,Outgoing,L0496,C0001,E05759
CDR000009,PH00013,PH00020,2024-08-05T13:22:52,25,Outgoing,L0534,C0002,nan
CDR000010,PH00012,PH00016,2024-07-30T16:47:58,310,Outgoing,L0236,C0002,nan
CDR000011,PH00017,PH00021,2024-08-01T14:21:09,720,Incoming,L0534,C0002,nan
CDR000012,PH00023,PH00016,2024-08-02T20:18:58,600,Outgoing,L0248,C0002,nan
CDR000013,PH00014,PH00012,2024-08-31T03:11:57,720,Outgoing,L0236,C0002,nan
CDR000014,PH00020,PH00024,2024-08-20T05:56:27,18,Incoming,L0236,C0002,nan
CDR000015,PH00012,PH00018,2024-08-23T11:22:57,63,Incoming,L0236,C0002,nan
CDR000016,PH00020,PH00017,2024-07-24T01:55:26,25,Incoming,L0248,C0002,nan
CDR000017,PH00023,PH00011,2024-08-02T07:07:04,32,Outgoing,L0236,C0002,E05763
CDR000018,PH00019,PH00017,2024-08-13T01:03:04,512,Outgoing,L0534,C0002,nan
CDR000019,PH00019,PH00013,2024-08-25T14:36:33,90,Outgoing,L0534,C0002,nan
CDR000020,PH00007,PH00014,2024-08-05T01:25:32,90,Outgoing,L0236,C0002,E05764
CDR000021,PH00012,PH00015,2024-07-29T08:35:18,90,Outgoing,L0248,C0002,nan
CDR000022,PH00019,PH00013,2024-08-18T03:20:21,25,Outgoing,L0236,C0002,E05765
