source_id,source_type,platform,url_or_reference,collection_time,collector,case_id
OS0001,Social Media,News Archive,REF-OSINT-OS0001,2024-07-19T10:18:41,System,C0001
OS0002,Business Listing,News Archive,REF-OSINT-OS0002,2024-08-19T21:17:49,Analyst User,C0002
OS0003,Public Record,Public Registry,REF-OSINT-OS0003,2024-08-15T03:59:00,Analyst User,C0002
OS0004,Business Listing,Business Directory,REF-OSINT-OS0004,2024-02-26T10:20:16,System,C0003
OS0005,Forum Reference,News Archive,REF-OSINT-OS0005,2024-07-04T07:48:19,System,C0003
OS0006,Business Listing,News Archive,REF-OSINT-OS0006,2024-11-20T10:32:57,Analyst User,C0004
OS0007,Public Record,News Archive,REF-OSINT-OS0007,2024-09-28T07:58:52,System,C0004
OS0008,Public Record,Business Directory,REF-OSINT-OS0008,2024-10-29T07:09:19,System,C0004
OS0009,Business Listing,Business Directory,REF-OSINT-OS0009,2024-08-20T20:55:58,Analyst User,C0005
OS0010,Business Listing,News Archive,REF-OSINT-OS0010,2024-02-24T03:44:33,System,C0006
OS0011,Business Listing,Social Platform,REF-OSINT-OS0011,2024-06-17T07:36:25,System,C0006
OS0012,News,Social Platform,REF-OSINT-OS0012,2024-07-01T01:34:12,Analyst User,C0007
OS0013,Public Record,Public Registry,REF-OSINT-OS0013,2024-04-30T13:26:48,Analyst User,C0007
OS0014,News,Business Directory,REF-OSINT-OS0014,2024-07-25T22:37:22,Analyst User,C0007
OS0015,News,Public Registry,REF-OSINT-OS0015,2024-05-17T00:23:29,Analyst User,C0007
OS0016,Forum Reference,News Archive,REF-OSINT-OS0016,2024-07-02T20:21:39,System,C0008
OS0017,Public Record,Business Directory,REF-OSINT-OS0017,2024-06-28T19:05:41,Analyst User,C0008
OS0018,Web Source,Social Platform,REF-OSINT-OS0018,2024-07-30T00:21:24,System,C0009
OS0019,Forum Reference,News Archive,REF-OSINT-OS0019,2024-07-03T16:05:41,System,C0009
OS0020,Public Record,Public Registry,REF-OSINT-OS0020,2024-03-03T06:55:14,Analyst User,C0010
OS0021,News,Public Registry,REF-OSINT-OS0021,2024-07-21T10:37:42,System,C0011
OS0022,News,Social Platform,REF-OSINT-OS0022,2024-07-12T08:39:24,Analyst User,C0011
OS0023,News,Business Directory,REF-OSINT-OS0023,2024-07-20T20:24:53,System,C0011
OS0024,Web Source,Social Platform,REF-OSINT-OS0024,2024-02-26T15:05:49,System,C0012
OS0025,Web Source,Business Directory,REF-OSINT-OS0025,2024-01-27T18:43:09,System,C0012
