relationship_id,source_entity_id,source_entity_type,target_entity_id,target_entity_type,relationship_type,timestamp,case_id,evidence_id,confidence,source
R000001,P00001,person,PH00001,phone,OWNED_BY,2024-05-06T21:37:50,C0001,nan,0.99,nan
R000002,P00001,person,PH00002,phone,OWNED_BY,2024-08-11T08:59:31,C0001,nan,0.78,nan
R000003,P00001,person,ACC00001,account,OWNED_BY,2024-08-18T07:23:42,C0001,nan,0.76,nan
R000004,P00002,person,PH00003,phone,OWNED_BY,2024-05-21T16:17:44,C0001,nan,0.89,nan
R000005,P00002,person,ACC00002,account,OWNED_BY,2024-07-26T10:01:40,C0001,nan,0.74,nan
R000006,P00002,person,D00001,device,OWNED_BY,2024-08-08T19:50:05,C0001,nan,0.74,nan
R000007,P00003,person,PH00004,phone,OWNED_BY,2024-05-30T22:09:55,C0001,nan,0.8,nan
R000008,P00003,person,V00001,vehicle,OWNED_BY,2024-05-27T21:44:05,C0001,nan,0.64,nan
R000009,P00003,person,L0226,location,OPERATED_IN,2024-08-29T12:49:17,C0001,nan,0.69,nan
R000010,P00004,person,PH00005,phone,OWNED_BY,2024-07-13T20:46:31,C0001,nan,0.64,nan
R000011,P00005,person,PH00006,phone,OWNED_BY,2024-08-14T17:54:27,C0001,nan,0.92,nan
R000012,P00005,person,ACC00003,account,OWNED_BY,2024-05-30T23:07:36,C0001,nan,0.74,nan
R000013,P00005,person,L0013,location,OPERATED_IN,2024-07-20T17:12:54,C0001,nan,0.75,nan
R000014,P00006,person,ACC00004,account,OWNED_BY,2024-08-22T20:18:14,C0002,nan,0.96,nan
R000015,P00007,person,ACC00005,account,OWNED_BY,2024-08-30T10:07:23,C0002,nan,0.96,nan
R000016,P00008,person,PH00007,phone,OWNED_BY,2024-08-15T21:43:19,C0002,nan,0.84,nan
R000017,P00008,person,D00002,device,OWNED_BY,2024-08-13T00:55:59,C0002,nan,0.98,nan
R000018,P00008,person,L0208,location,OPERATED_IN,2024-08-23T14:46:50,C0002,nan,0.91,nan
R000019,P00009,person,PH00008,phone,OWNED_BY,2024-08-19T04:05:20,C0002,nan,0.99,nan
R000020,P00009,person,ACC00006,account,OWNED_BY,2024-08-24T19:50:40,C0002,nan,0.73,nan
R000021,P00009,person,L0267,location,OPERATED_IN,2024-08-28T15:34:34,C0002,nan,0.79,nan
R000022,P00010,person,PH00009,phone,OWNED_BY,2024-08-18T22:05:15,C0002,nan,0.74,nan
R000023,P00010,person,D00003,device,OWNED_BY,2024-08-22T04:18:29,C0002,nan,0.66,nan
R000024,P00011,person,ACC00007,account,OWNED_BY,2024-08-15T12:46:01,C0002,nan,0.87,nan
R000025,P00011,person,V00002,vehicle,OWNED_BY,2024-08-15T02:15:04,C0002,nan,0.6,nan
R000026,P00012,person,PH00010,phone,OWNED_BY,2024-08-20T15:26:46,C0002,nan,0.73,nan
R000027,P00012,person,D00004,device,OWNED_BY,2024-08-27T05:00:25,C0002,nan,0.92,nan
