transaction_id,source_account_id,target_account_id,amount,currency,timestamp,transaction_type,reference,case_id,evidence_id
TX000001,ACC00003,ACC00001,750000,INR,2024-07-25T20:39:47,RTGS,TXN-00000001,C0001,nan
TX000002,ACC00003,ACC00002,25000,INR,2024-05-15T18:12:32,IMPS,TXN-00000002,C0001,nan
TX000003,ACC00003,ACC00001,350000,INR,2024-05-21T19:55:07,IMPS,TXN-00000003,C0001,E05760
TX000004,ACC00001,ACC00003,1000000,INR,2024-06-01T23:22:14,RTGS,TXN-00000004,C0001,nan
TX000005,ACC00002,ACC00003,1000000,INR,2024-04-17T10:56:59,IMPS,TXN-00000005,C0001,nan
TX000006,ACC00004,ACC00012,2500,INR,2024-08-29T13:37:49,RTGS,TXN-00000006,C0002,nan
TX000007,ACC00006,ACC00007,500,INR,2024-08-04T20:23:55,RTGS,TXN-00000007,C0002,nan
TX000008,ACC00016,ACC00009,5000,INR,2024-08-03T11:07:59,IMPS,TXN-00000008,C0002,nan
TX000009,ACC00004,ACC00019,8500,INR,2024-08-18T11:59:35,UPI,TXN-00000009,C0002,nan
TX000010,ACC00006,ACC00016,500000,INR,2024-08-29T22:57:45,IMPS,TXN-00000010,C0002,nan
TX000011,ACC00015,ACC00014,2500,INR,2024-08-05T07:33:11,IMPS,TXN-00000011,C0002,nan
TX000012,ACC00016,ACC00018,5000,INR,2024-08-16T20:32:17,RTGS,TXN-00000012,C0002,nan
TX000013,ACC00014,ACC00017,100000,INR,2024-08-11T13:34:01,RTGS,TXN-00000013,C0002,nan
TX000014,ACC00013,ACC00018,75000,INR,2024-08-19T13:16:17,UPI,TXN-00000014,C0002,nan
TX000015,ACC00009,ACC00015,5000,INR,2024-08-07T03:55:43,NEFT,TXN-00000015,C0002,nan
TX000016,ACC00016,ACC00017,2500,INR,2024-08-07T06:46:03,RTGS,TXN-00000016,C0002,nan
TX000017,ACC00019,ACC00006,42000,INR,2024-08-08T05:35:17,UPI,TXN-00000017,C0002,nan
TX000018,ACC00007,ACC00014,100000,INR,2024-08-30T10:50:01,UPI,TXN-00000018,C0002,nan
TX000019,ACC00009,ACC00017,750000,INR,2024-08-01T16:37:22,IMPS,TXN-00000019,C0002,nan
TX000020,ACC00011,ACC00008,50000,INR,2024-08-15T10:16:22,RTGS,TXN-00000020,C0002,nan
TX000021,ACC00011,ACC00016,25000,INR,2024-08-10T17:08:53,NEFT,TXN-00000021,C0002,nan
