vehicle_id,registration_number,vehicle_type,owner_person_id,make_model,color,status,case_id,evidence_id
V00001,DL-39-B-5038,Car,P00003,Toyota Glanza,Grey,Active,C0001,E00004
V00002,MH-38-B-5927,Truck,P00011,Kia Sonet,White,Active,C0002,nan
V00003,TN-27-X-1361,Car,P00025,Toyota Glanza,Maroon,Inactive,C0002,nan
V00004,HR-40-Z-3524,Commercial Vehicle,P00030,Kia Sonet,Green,Inactive,C0002,nan
V00005,MP-71-J-2027,Motorcycle,P00031,Bajaj Pulsar,Grey,Active,C0002,nan
V00006,TN-57-H-5028,Van,P00037,Hyundai i20,Red,Active,C0003,nan
V00007,MH-89-H-5193,SUV,P00041,Tata Nexon,White,Active,C0003,E00031
V00008,MP-12-S-4086,SUV,P00048,Bajaj Pulsar,Blue,Active,C0003,E00032
V00009,MH-47-F-4165,Commercial Vehicle,P00050,Hyundai i20,Red,Active,C0003,nan
V00010,MP-63-E-3979,Van,P00056,Mahindra XUV300,Blue,Active,C0003,nan
V00011,MP-37-Y-4402,Truck,P00057,Maruti Swift,Black,Inactive,C0003,nan
V00012,GJ-19-P-6462,Van,P00059,Bajaj Pulsar,Silver,Active,C0004,E00045
V00013,UP-80-B-7646,Car,P00061,Mahindra XUV300,Silver,Active,C0004,E00046
V00014,DL-49-F-2062,Truck,P00063,Bajaj Pulsar,White,Active,C0004,nan
V00015,UP-94-X-9346,SUV,P00079,Maruti Swift,Grey,Active,C0005,nan
V00016,DL-38-U-3680,SUV,P00085,Maruti Swift,Green,Active,C0006,E00077
V00017,DL-99-T-9741,Commercial Vehicle,P00089,Tata Nexon,Red,Active,C0006,nan
V00018,TN-54-Y-4890,Motorcycle,P00091,Maruti Swift,Blue,Active,C0006,nan
V00019,TS-55-B-6992,Motorcycle,P00098,Kia Sonet,Maroon,Active,C0006,E00078
V00020,GJ-29-F-7730,Truck,P00106,Toyota Glanza,White,Active,C0006,nan
V00021,KL-12-O-7482,Motorcycle,P00116,Toyota Glanza,Blue,Active,C0007,nan
V00022,MH-74-L-5876,SUV,P00118,Bajaj Pulsar,Grey,Active,C0007,nan
V00023,MP-53-I-2467,Car,P00126,Mahindra XUV300,Silver,Active,C0008,nan
V00024,UP-20-G-4177,Car,P00129,Toyota Glanza,Red,Active,C0008,E00097
V00025,HR-84-E-3104,Car,P00143,Maruti Swift,Blue,Inactive,C0009,nan
V00026,GJ-43-L-3273,Commercial Vehicle,P00144,Mahindra XUV300,Blue,Active,C0009,nan
V00027,MP-58-Y-7355,Truck,P00146,Honda City,Green,Active,C0009,E00105
V00028,UP-19-V-5278,Truck,P00147,Hyundai i20,Blue,Active,C0009,nan
